Year,Recruit,Mature,Age
2024,35534,No,1
2023,93874,No,2
2022,4612,No,3
2021,59662,No,4
2020,80372,No,5
2019,22505,No,6
2018,9106,Yes,7
2017,2855,Yes,8
2016,68575,Yes,9
2015,2507,Yes,10
2014,8575,Yes,11
2013,46000,Yes,12
2012,3769,Yes,13
2011,8492,Yes,14
2010,16108,Yes,15
2009,430,Yes,16
