Year,Metric,Population
1975,-2.106239456,Losses
1976,-4.815019807,Losses
1977,-2.065638291,Losses
1978,-3.479478338,Losses
1979,-6.896338679,Losses
1980,-2.560610738,Losses
1981,-4.380229893,Losses
1982,-7.174332438,Losses
1983,-6.582243854,Losses
1984,-6.708924044,Losses
1985,-5.610102472,Losses
1986,-5.53151626,Losses
1987,-6.246485252,Losses
1988,-5.079305482,Losses
1989,-3.425420761,Losses
1990,-2.9964736,Losses
1991,-3.9412367,Losses
1992,-6.3929584,Losses
1993,-7.3335128,Losses
1994,-6.8027463,Losses
1995,-6.7655113,Losses
1996,-7.6483223,Losses
1997,-9.476943,Losses
1998,-5.2498596,Losses
1999,-2.2123457,Losses
2000,3.0942696,Gains
2001,4.4094727,Gains
2002,9.5494404,Gains
2003,0.2725284,Gains
2004,-5.7160828,Losses
2005,-7.372175,Losses
2006,-6.3139643,Losses
2007,-8.0309214,Losses
2008,-0.6641741,Losses
2009,-2.5047087,Losses
2010,-1.3964114,Losses
2011,-1.6460407,Losses
2012,0.680225,Gains
2013,16.5866919,Gains
2014,4.743897,Gains
2015,11.1099196,Gains
2016,7.3400251,Gains
2017,14.1954772,Gains
2018,3.7965132,Gains
2019,9.8496103,Gains
2020,18.0779191,Gains
2021,9.6040627,Gains
2022,10.5731691,Gains
2023,6.2468834,Gains
2024,20.6463236,Gains
