"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23","Age 24","Age 25","Age 26","Age 27","Age 28","Age 29","Age 30","Age 31","Age 32","Age 33","Age 34","Age 35","Age 36","Age 37","Age 38","Age 39","Age 40","Age 41","Age 42","Age 43","Age 44","Age 45","Age 46","Age 47","Age 48","Age 49","Age 50","Age 51","Age 52","Age 53","Age 54","Age 55","Age 56","Age 57","Age 58","Age 59","Age 60","Age 61","Age 62","Age 63","Age 64"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
"CV",0.329926003895469,0.329926003895469,0.208789873030646,0.168830379476003,0.14916955641976,0.137631862280349,0.130158826967029,0.125011144210442,0.121319194652011,0.118599886879833,0.116563393848598,0.115025305802865,0.113862706743467,0.112990523298504,0.112348009796691,0.111890639315341,0.111585035589151,0.111405693660671,0.111332793650751,0.111350704920595,0.111446938988406,0.1116114016158,0.111835848873659,0.112113485106748,0.112438661410017,0.112806646473344,0.113213450310941,0.113655687164635,0.114130467787584,0.114635314016628,0.115168090432649,0.115726949250359,0.116310285543652,0.116916700614125,0.117544971826283,0.118194027616132,0.118862926667226,0.119550840465798,0.120257038612513,0.120980876396112,0.121721784233141,0.122479258655198,0.123252854585801,0.124042178696972,0.124846883673802,0.125666663245764,0.126501247868144,0.127350400956781,0.128213915595451,0.129091611648418,0.129983333221432,0.130888946423404,0.131808337388281,0.132741410522806,0.133688086950895,0.134648303129643,0.135622009615519,0.136609169962352,0.137609759735212,0.138623765626469,0.139651184662144,0.140692023488196,0.141746297727774,0.142814031401555,0.143895256404296
"SD",0.329926003895469,0.329926003895469,0.417579746061292,0.506491138428009,0.596678225679039,0.688159311401744,0.780952961802173,0.875078009473093,0.970553557216085,1.06739898191849,1.16563393848598,1.26527836383151,1.3663524809216,1.46887680288056,1.57287213715368,1.67835958973012,1.78536056942642,1.8938967922314,2.00399028571352,2.1156633934913,2.22893877976812,2.34383943393181,2.4603886752205,2.5786101574552,2.69852787384041,2.8201661618336,2.94354970808446,3.06870355344514,3.19565309805234,3.32442410648223,3.45504271297946,3.58753542676113,3.72192913739688,3.85825112026611,3.99652904209363,4.13679096656461,4.27906536002013,4.42338109723453,4.56976746727548,4.71825417944835,4.86887136932565,5.02164960486314,5.17661989260363,5.3338136839698,5.49326288164727,5.65499984605936,5.81905740193463,5.98546884496868,6.15426794858165,6.32548897077246,6.49916666107162,6.67533626759362,6.8540335441906,7.03529475770869,7.21915669534834,7.40565667213036,7.59483253846907,7.78672268785408,7.98136606464229,8.1788021719617,8.37907107972862,8.58221343277994,8.78827045912201,8.99728397829794,9.20929640987495
"Expected_age",0.499128342609267,1.4973850278278,2.49564171304634,3.49389839826487,4.49215508348341,5.49041176870194,6.48866845392048,7.48692513913901,8.48518182435755,9.48343850957608,10.4816951947946,11.4799518800132,12.4782085652317,13.4764652504502,14.4747219356688,15.4729786208873,16.4712353061058,17.4694919913244,18.4677486765429,19.4660053617614,20.46426204698,21.4625187321985,22.460775417417,23.4590321026356,24.4572887878541,25.4555454730726,26.4538021582912,27.4520588435097,28.4503155287282,29.4485722139468,30.4468288991653,31.4450855843838,32.4433422696024,33.4415989548209,34.4398556400395,35.438112325258,36.4363690104765,37.4346256956951,38.4328823809136,39.4311390661321,40.4293957513507,41.4276524365692,42.4259091217877,43.4241658070063,44.4224224922248,45.4206791774433,46.4189358626619,47.4171925478804,48.4154492330989,49.4137059183175,50.411962603536,51.4102192887545,52.4084759739731,53.4067326591916,54.4049893444101,55.4032460296287,56.4015027148472,57.3997594000658,58.3980160852843,59.3962727705028,60.3945294557214,61.3927861409399,62.3910428261584,63.389299511377,64.3875561965955
