"","year","fit","pred_int_lwr","pred_int_upr","se","Y_rec","prediction_error"
"1",1993,-1.07514154590576,-3.59228817789279,1.44200508608128,0.395952241310676,-0.541,1.21960772626416
"2",1994,-0.707966960048436,-3.18311573195524,1.76718181185837,0.327959056078222,0.405,1.19925892576541
"3",1995,0.314093020118588,-2.11309643065872,2.74128247089589,0.228827795134903,1.33,1.17602167853769
"4",1996,-0.459511434446137,-2.91144301360849,1.99242014471621,0.284081497400926,-2.231,1.18800973301141
"5",1997,-1.26438175916847,-4.06200908571615,1.53324556737921,0.711851297110779,-2.505,1.35550621457911
"6",1998,1.14170842911706,-1.3723018703766,3.65571872861073,0.391246491009397,-0.108,1.21808811064367
"7",1999,0.156894710479217,-2.26774802098074,2.58153744193917,0.22239921490454,1.105,1.17478774225579
"8",2000,-0.0246735224719432,-2.47770648894388,2.42835944399999,0.28630496106982,2.483,1.1885433771207
"9",2001,0.503726106521505,-1.93484962516219,2.9423018382052,0.255672714592566,1.192,1.1815385586393
"10",2002,0.811808886788917,-1.86539117972912,3.48900895330696,0.593254541745347,0.47,1.29715680619799
"11",2003,-0.0342350386625068,-2.47599184297005,2.40752176564503,0.262703458371989,-1.01,1.18307985174497
"12",2004,-0.186686754839171,-2.64353316809877,2.27015965842043,0.293881041386169,0.089,1.19039106811607
"13",2005,-1.52555897331988,-4.13796188033917,1.08684393369941,0.521043967625875,-2.315,1.26576129059298
"14",2006,0.504158751250729,-2.01137278825411,3.01969029075556,0.39353525270468,-1.266,1.21882518175727
"15",2007,-1.02058944053389,-3.525573113881,1.48439423281321,0.377409767410608,-2.036,1.21371453031643
"16",2008,0.134246222384364,-2.29159694636599,2.56008939113472,0.225451427820398,1.873,1.17536937805549
"17",2009,0.539202564514683,-1.91720166761397,2.99560679664334,0.293012014008415,-0.701,1.19017682254258
"18",2010,-0.121011458834521,-2.55951998942123,2.31749707175219,0.255522201805243,0.851,1.18150599836805
"19",2011,0.152284449669455,-2.28400930066325,2.58857820000216,0.250513446220196,0.254,1.18043289318005
"20",2012,-0.488859054109273,-2.94114425467789,1.96342614645934,0.284797165837824,-0.512,1.18818106963272
"21",2013,0.504496010061426,-1.95818067347946,2.96717269360232,0.305122066543764,1.704,1.19321595030247
"22",2014,0.501838399732715,-1.93281991813407,2.9364967175995,0.246752640204789,0.053,1.17964049354552
"23",2015,2.2527607728925,-0.444889453952932,4.95041099973794,0.614617696820334,1.389,1.30706531658101
"24",2016,1.45432222462842,-1.32451678714286,4.2331612363997,0.694360097208221,2.262,1.34640290149691
"25",2017,-0.102873411489495,-2.53102010768761,2.32527328470862,0.23119961767217,0.645,1.17648548302818
"26",2018,-0.0344941276790329,-2.48665073935936,2.41766248400129,0.284537120547558,-0.561,1.18811876575273
"27",2019,1.07444293334893,-1.45195241999557,3.60083828669344,0.409547123142465,0.681,1.22408891614889
"28",2020,0.0296650050908207,-2.43039859459892,2.48972860478056,0.300132700648597,3.078,1.19194985908087
"29",2021,0.682383432949806,-1.76321862294593,3.12798548884554,0.270970427956107,2.904,1.18494295280026
"30",2022,-0.912375256023283,-3.42267780077392,1.59792728872735,0.38561703742401,-0.687,1.21629162955106
"31",2023,0.381861611921442,-2.05523633026585,2.81895955410874,0.252343105316217,NA,1.18082254016636
"32",2024,0.680227078217281,-1.77014979813242,3.13060395456698,0.280914659547232,NA,1.18725644850337
