(Intercept),CSTbjuv,CSTegg,CSTlarv,CSTpjuv,CSTyolk,DDbjuv,DDegg,DDlarv,DDpjuv,DDpre,I(DDpre^2),DDyolk,LSTbjuv,I(LSTbjuv^2),LSTegg,LSTlarv,LSTpjuv,LSTyolk,MLDegg,Tpre,Tspawn,R2,F,df,logLik,AICc,delta,weight
20.4492433209008,,199.278972365212,,-172.831333021812,,,,,,,,,,,,,,,,,-3.60354057614362,0.549020484942873,7.30437370140851,5,-29.7048998878394,73.1597997756788,0,0.113114861888119
18.0138909421345,172.112018762797,,,-230.444927944455,,,,,,,,,,,,,,,,,-3.10027705541052,0.498255440882662,5.95827616059279,5,-30.8782613792726,75.5065227585452,2.34672298286644,0.0349892995604907
22.2694888974397,,,,-192.981853681046,180.597773331032,,,,,,,,,,,,,,,,-3.84767584640032,0.492887606660026,5.83169663924489,5,-30.995318080944,75.7406361618879,2.58083638620916,0.031124197964093
19.9775846001645,,,,-160.076680363409,,,,,,,,,,,,,,,,,-3.37559938486214,0.398307329366857,6.28879129440524,4,-32.876473609002,76.1058883944746,2.94608861879586,0.0259289335310676
6.24686674273159,,387.92697196169,-133.804351702275,,,,-1.17184685949459,,,,,,,,,,,,,,,0.476907750174373,5.470252143862,5,-31.336594975927,76.4231899518541,3.26339017617532,0.0221250110703323
23.3720207870163,,,,-147.976564144987,,,,,,,,-0.860074634645761,,,,,,,,,-3.16619547932782,0.467458630685806,5.26673033444667,5,-31.5335252150182,76.8170504300364,3.65725065435758,0.0181701193727253
22.6984033425092,,,,-159.200291992282,,,-0.66768195629081,,,,,,,,,,,,,,-3.19831019058051,0.463379376300144,5.18108349737213,5,-31.6174638815096,76.9849277630192,3.82512798734038,0.0167072003580561
11.8309946500234,,433.3976544791,-147.083924383801,,,,,,,,,,,,,,,,,-1.80080280256081,,0.45330561355125,4.97505324496774,5,-31.8220481130235,77.394096226047,4.23429645036828,0.0136161359199526
4.34127261267538,,224.474690397704,,-137.795315445037,,,-1.03526417849675,,,,,,,,,,,,,,,0.452574511155359,4.9603957474892,5,-31.8367487463515,77.4234974927029,4.26369771702416,0.0134174341974488
9.65831709792613,,255.4533457,,-157.544903953111,,,,,,,,,,,,,,,,-1.66884132183491,,0.44819396409679,4.87338595377822,5,-31.9244214006428,77.5988428012857,4.43904302560692,0.0122911841119457
21.4521790784004,,,,-152.258093119064,,,,-0.395190521193884,,,,,,,,,,,,,-3.18535148930912,0.445324474850267,4.81713493376208,5,-31.981475134902,77.7129502698041,4.55315049412532,0.0116095557699962
6.5294402242782,,339.377135199082,-113.407651890416,,,,,,,,,-1.29019201374915,,,,,,,,,,0.444490290628255,4.80089132336806,5,-31.9980057603935,77.7460115207871,4.58621174510833,0.0114192200697949
5.01976902940861,,204.388388693297,,-121.484811580159,,,,,,,,-1.19343127580248,,,,,,,,,,0.434931630948854,4.61818415013232,5,-32.1856728383644,78.1213456767288,4.96154590105003,0.00946528437214431
13.4428575718831,,,,-160.16873598311,,,,,,-4.05854231020877,,,148.17676252262,,,,,,,,,0.433411799126633,4.58970164001175,5,-32.2152191875664,78.1804383751329,5.0206385994541,0.00918971091693057
4.16774793235645,,356.876655442705,-116.638538960454,,,,,-0.701111270057035,,,,,,,,,,,,,,0.432384703916905,4.57053966199254,5,-32.2351416272797,78.2202832545594,5.0604834788806,0.00900844111902945
23.4662217508808,,,,-120.343002501915,,,,,-0.563365192789599,,,,,,,,,,,,-3.27506062782788,0.429592824132083,4.51880175046984,5,-32.2891137411903,78.3282274823806,5.16842770670183,0.00853512435362153
19.266167480229,,,,-154.182155552819,,,,,,,,,,,,-13.4986568262648,,,,,-3.3000140568044,0.428420880705282,4.49723441157807,5,-32.3116908636566,78.3733817273132,5.21358195163438,0.00834458481657444
2.83193410178319,,217.620432678784,,-126.289565390404,,,,-0.653269707238788,,,,,,,,,,,,,,0.427273300640107,4.47620096410014,5,-32.3337538205044,78.4175076410088,5.25770786533001,0.00816249471125661
21.704251465805,,,,-166.8117333354,,,,,,,,,,,,,,,-0.0561812712395314,,-3.46798711981366,0.423966601063705,4.41606269893312,5,-32.3970808734822,78.5441617469644,5.3843619712856,0.00766161497436253
24.6527668344973,,,,,,,,,-1.16913227558267,,,,,,,,,,,,-2.70088935643879,0.32770535766894,4.63070906985139,4,-34.0969225004821,78.5467861774348,5.38698640175603,0.00765156787988371
24.3673026573189,,156.915925441997,,,,,,,-1.13099862647083,,,,,,,,,,,,-2.81072522660029,0.422029668781092,4.38115570283051,5,-32.4340067075326,78.6180134150652,5.45821363938639,0.00738386311993888
19.8222741222504,,,,-160.757083905757,,,,,,,,,,,,,,-28.0440884655608,,,-3.36463753629577,0.419273627581832,4.33188827815027,5,-32.4863353458547,78.7226706917093,5.56287091603053,0.00700741112628728
15.1601455121595,,325.256570589099,-117.594348035447,,,,,,,,,,,,,,,,,,-2.53210644773846,0.418419943931662,4.31672241404196,5,-32.5024937729446,78.7549875458892,5.59518777021044,0.00689509227629935
19.9887990702655,,,,-164.267182761562,,,,,,,,,,,-22.5808125857135,,,,,,-3.36961644804225,0.41689310946748,4.28970862361191,5,-32.5313344649026,78.8126689298052,5.65286915412644,0.00669907329245963
4.96735061294318,204.763425781157,,,-192.960268606573,,,,,,-1.97544113528989,,,,,,,,,,,,0.415408157755423,4.26357120715648,5,-32.5593116771398,78.8686233542795,5.70882357860076,0.00651424938141529
