SampleYear,DoubleReadYear,Source,SampleType,SpeciesID,SpecimenID,DoubleReadSampleID,Original_Age_Estimate,Original_Age_Date,Original_AgerID,DoubleRead_Age_Estimate,DoubleRead_Age_Date,DoubleRead_AgerID,Purpose
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-585,281-2,2,11/13/2000,bpederson,2,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-590,281-2,2,11/13/2000,bpederson,2,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-595,281-2,2,11/13/2000,bpederson,2,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-616,281-2,3,11/13/2000,bpederson,3,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-621,281-2,2,11/13/2000,bpederson,2,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-63,281-2,3,11/1/2000,bpederson,3,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-64,281-2,3,11/1/2000,bpederson,3,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-66,281-2,3,11/1/2000,bpederson,3,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-7,281-2,1,10/30/2000,bpederson,1,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-80,281-2,3,11/2/2000,bpederson,3,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-82,281-2,4,11/2/2000,bpederson,4,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-84,281-2,5,11/2/2000,bpederson,6,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-85,281-2,3,11/2/2000,bpederson,4,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-90,281-2,2,11/2/2000,bpederson,2,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-91,281-2,4,11/2/2000,bpederson,5,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-92,281-2,3,11/2/2000,bpederson,3,12/12/00,pmcdonald,
1989,2000,AFSC,Shelf Survey,SABL,198906019-SABL-95,281-2,5,11/2/2000,bpederson,5,12/12/00,pmcdonald,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-1,817,4,4/3/1997,mmann,6,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-2,817,10,4/3/1997,mmann,9,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-3,817,24,4/3/1997,mmann,30,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-4,817,20,4/3/1997,mmann,22,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-5,817,27,4/3/1997,mmann,20,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-6,817,29,4/3/1997,mmann,22,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-7,817,38,4/3/1997,mmann,31,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-8,817,28,4/3/1997,mmann,25,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-9,817,39,4/3/1997,mmann,28,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-1,817,7,4/12/1997,mmann,5,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-10,817,5,4/12/1997,mmann,4,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-11,817,5,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-12,817,3,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-13,817,3,4/12/1997,mmann,4,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-14,817,3,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-15,817,2,4/12/1997,mmann,2,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-16,817,4,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-17,817,3,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-18,817,3,4/12/1997,mmann,2,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-19,817,3,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-2,817,4,4/12/1997,mmann,4,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-20,817,3,4/12/1997,mmann,2,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-21,817,4,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-22,817,3,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-3,817,4,4/12/1997,mmann,5,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-4,817,4,4/12/1997,mmann,4,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-5,817,4,4/12/1997,mmann,5,5/8/97,Jomalley,
