"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23","Age 24","Age 25","Age 26","Age 27","Age 28","Age 29","Age 30","Age 31","Age 32","Age 33","Age 34","Age 35","Age 36","Age 37","Age 38","Age 39","Age 40","Age 41","Age 42","Age 43","Age 44","Age 45","Age 46","Age 47","Age 48","Age 49","Age 50","Age 51","Age 52","Age 53","Age 54","Age 55","Age 56","Age 57","Age 58","Age 59","Age 60","Age 61","Age 62","Age 63","Age 64","Age 65","Age 66","Age 67","Age 68","Age 69","Age 70"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
"CV",0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003,0.170930196851003
"SD",0.170930196851003,0.170930196851003,0.341860393702006,0.512790590553009,0.683720787404012,0.854650984255015,1.02558118110602,1.19651137795702,1.36744157480802,1.53837177165903,1.70930196851003,1.88023216536103,2.05116236221204,2.22209255906304,2.39302275591404,2.56395295276505,2.73488314961605,2.90581334646705,3.07674354331805,3.24767374016906,3.41860393702006,3.58953413387106,3.76046433072207,3.93139452757307,4.10232472442407,4.27325492127507,4.44418511812608,4.61511531497708,4.78604551182808,4.95697570867909,5.12790590553009,5.29883610238109,5.4697662992321,5.6406964960831,5.8116266929341,5.9825568897851,6.15348708663611,6.32441728348711,6.49534748033811,6.66627767718912,6.83720787404012,7.00813807089112,7.17906826774213,7.34999846459313,7.52092866144413,7.69185885829514,7.86278905514614,8.03371925199714,8.20464944884814,8.37557964569915,8.54650984255015,8.71744003940115,8.88837023625216,9.05930043310316,9.23023062995416,9.40116082680517,9.57209102365617,9.74302122050717,9.91395141735817,10.0848816142092,10.2558118110602,10.4267420079112,10.5976722047622,10.7686024016132,10.9395325984642,11.1104627953152,11.2813929921662,11.4523231890172,11.6232533858682,11.7941835827192,11.9651137795702
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5
