"year","state","geargroup","catch_mt"
1917,"WA","POT",0
1917,"WA","TWL",0
1918,"CA","HKL",69.2677188633798
1918,"CA","POT",0
1918,"CA","TWL",157.04629744731
1918,"OR","HKL",162
1918,"WA","HKL",2452.50326505914
1918,"WA","POT",0
1918,"WA","TWL",0
1919,"CA","HKL",46.5013066445043
1919,"CA","POT",0
1919,"CA","TWL",105.429457686996
1919,"OR","HKL",195
1919,"WA","HKL",677.581909757982
1919,"WA","POT",0
1919,"WA","TWL",0
1920,"CA","HKL",108.431134590746
1920,"CA","POT",0
1920,"CA","TWL",245.839021335094
1920,"OR","HKL",65
1920,"WA","HKL",453.575837974152
1920,"WA","POT",0
1920,"WA","TWL",0
1921,"CA","HKL",141.973993818627
1921,"CA","POT",0
1921,"CA","TWL",321.888614622913
1921,"OR","HKL",65
1921,"WA","HKL",639.439115769383
1921,"WA","POT",0
1921,"WA","TWL",0
1922,"CA","HKL",37.2835106869927
1922,"CA","POT",0
1922,"CA","TWL",84.5305346459873
1922,"OR","HKL",37
1922,"WA","HKL",636.945934819051
1922,"WA","POT",0
1922,"WA","TWL",0
1923,"CA","HKL",74.7313967943978
1923,"CA","POT",0
1923,"CA","TWL",169.433747237642
1923,"OR","HKL",162
1923,"WA","HKL",1022.29014097031
1923,"WA","POT",0
1923,"WA","TWL",0
1924,"CA","HKL",129.571979412994
1924,"CA","POT",0
1924,"CA","TWL",293.770315431706
1924,"OR","HKL",104
1924,"WA","HKL",1301.38767669802
1924,"WA","POT",0
1924,"WA","TWL",0
1925,"CA","HKL",100.301215148734
1925,"CA","POT",0
1925,"CA","TWL",227.406571589906
1925,"OR","HKL",226
1925,"WA","HKL",1543.06422089692
1925,"WA","POT",0
1925,"WA","TWL",0
1926,"CA","HKL",24.3844827635588
1926,"CA","POT",0
1926,"CA","TWL",55.2853882879812
1926,"OR","HKL",251
1926,"WA","HKL",1363.84470004321
1926,"WA","POT",0
1926,"WA","TWL",0
1927,"CA","HKL",137.810742038793
1927,"CA","POT",0
1927,"CA","TWL",312.449538411187
1927,"OR","HKL",217.8745
1927,"OR","POT",0
1927,"OR","TWL",0
1927,"WA","HKL",1850.30365663837
1927,"WA","POT",0
1927,"WA","TWL",0
1928,"CA","HKL",127.301405087958
1928,"CA","POT",0
1928,"CA","TWL",288.622386545392
1928,"OR","HKL",181.5404
1928,"OR","POT",0
1928,"OR","TWL",0
1928,"WA","HKL",1512.08455296286
1928,"WA","POT",0
1928,"WA","TWL",0
1929,"CA","HKL",199.833864142567
1929,"CA","POT",0
1929,"CA","TWL",453.070621974393
1929,"OR","HKL",98.4572
1929,"OR","POT",0
1929,"OR","TWL",0
1929,"WA","HKL",1516.56217143923
1929,"WA","POT",0
1929,"WA","TWL",15.3188098125175
1930,"CA","HKL",188.691182033014
1930,"CA","POT",0
1930,"CA","TWL",427.807526875376
1930,"OR","HKL",123.4157
1930,"OR","POT",0
1930,"OR","TWL",0
1930,"WA","HKL",1784.4057
1930,"WA","POT",0
1930,"WA","TWL",18.0243
1931,"CA","HKL",148.2287853696
1931,"CA","POT",0
1931,"CA","TWL",314.9861689104
1931,"OR","HKL",41.4974
1931,"OR","POT",0
1931,"OR","TWL",0
1931,"WA","HKL",883.550081222499
1931,"WA","POT",0
1931,"WA","TWL",8.92474829517676
1932,"CA","HKL",134.44408820224
1932,"CA","POT",0
1932,"CA","TWL",285.69368742976
1932,"OR","HKL",51.0042
1932,"OR","POT",0
1932,"OR","TWL",0
1932,"WA","HKL",1165.5602148444
1932,"WA","POT",0
1932,"WA","TWL",11.7733355034788
1933,"CA","HKL",193.41424148992
1933,"CA","POT",0
1933,"CA","TWL",411.00526316608
1933,"OR","HKL",15.1722
1933,"OR","POT",0
1933,"OR","TWL",0.2758
1933,"WA","HKL",893.911515908236
1933,"WA","POT",0
1933,"WA","TWL",9.02940925159835
1934,"CA","HKL",306.78379219968
1934,"CA","POT",0
1934,"CA","TWL",651.91555842432
1934,"OR","HKL",66.4204
1934,"OR","POT",0
1934,"OR","TWL",0
1934,"WA","HKL",1598.16116877868
1934,"WA","POT",0
1934,"WA","TWL",16.1430421088755
1935,"CA","HKL",412.40555610112
1935,"CA","POT",0
1935,"CA","TWL",876.36180671488
1935,"OR","HKL",58.8962
1935,"OR","POT",0
1935,"OR","TWL",0
1935,"WA","HKL",2028.13198463226
1935,"WA","POT",0
1935,"WA","TWL",7.1868603282504
1936,"CA","HKL",148.20077152768
1936,"CA","POT",0
1936,"CA","TWL",314.92663949632
1936,"OR","HKL",175.4563
1936,"OR","POT",0
1936,"OR","TWL",0
1936,"WA","HKL",1698.1460489133
1936,"WA","POT",0
1936,"WA","TWL",15.5731096989656
1937,"CA","HKL",106.46363065344
1937,"CA","POT",0
1937,"CA","TWL",226.23521513856
1937,"OR","HKL",95.1551
1937,"OR","POT",0
1937,"OR","TWL",0.6486
1937,"WA","HKL",2099.60627912279
1937,"WA","POT",0
1937,"WA","TWL",0
1938,"CA","HKL",108.85794324096
1938,"CA","POT",0
1938,"CA","TWL",231.32312938704
1938,"OR","HKL",80.6905
1938,"OR","POT",0
1938,"OR","TWL",0
1938,"WA","HKL",2032.32630299255
1938,"WA","POT",0
1938,"WA","TWL",21.8922043410329
1939,"CA","HKL",111.25225582848
1939,"CA","POT",0
1939,"CA","TWL",236.41104363552
1939,"OR","HKL",62.4638
1939,"OR","POT",0
1939,"OR","TWL",0.9081
1939,"WA","HKL",2279.36115055002
1939,"WA","POT",0
1939,"WA","TWL",53.2383318446785
1940,"CA","HKL",83.0922484224
1940,"CA","POT",0
1940,"CA","TWL",176.5710278976
1940,"OR","HKL",42.0317
1940,"OR","POT",0
1940,"OR","TWL",1.1675
1940,"WA","HKL",1756.53549313652
1940,"WA","POT",0
1940,"WA","TWL",120.078675253855
1941,"CA","HKL",77.8784805376
1941,"CA","POT",0
1941,"CA","TWL",165.4917711424
1941,"OR","HKL",103.3283
1941,"OR","POT",0
1941,"OR","TWL",15.1046
1941,"WA","HKL",1474.53916917968
1941,"WA","POT",0
1941,"WA","TWL",303.741121554617
1942,"CA","HKL",286.42063211264
1942,"CA","POT",0
1942,"CA","TWL",608.64384323936
1942,"OR","HKL",321.0073
1942,"OR","POT",0
1942,"OR","TWL",89.6846
1942,"WA","HKL",1698.41748683601
1942,"WA","POT",0
1942,"WA","TWL",224.57115174993
1943,"CA","HKL",465.0450165632
1943,"CA","POT",0
1943,"CA","TWL",988.2206601968
1943,"OR","HKL",235.5052
1943,"OR","POT",0
1943,"OR","TWL",488.8665
1943,"WA","HKL",1157.85760069294
1943,"WA","POT",0
1943,"WA","TWL",587.242399307059
1944,"CA","HKL",597.50055743744
1944,"CA","POT",0
1944,"CA","TWL",1269.68868455456
1944,"OR","HKL",10.7955
1944,"OR","POT",0
1944,"OR","TWL",351.114
1944,"WA","HKL",903.29443571204
1944,"WA","POT",0
1944,"WA","TWL",1352.10556428796
1945,"CA","HKL",909.2683459584
1945,"CA","POT",0
1945,"CA","TWL",1932.1952351616
1945,"OR","HKL",73.2098
1945,"OR","POT",0
1945,"OR","TWL",189.6369
1945,"WA","HKL",748.067467855056
1945,"WA","POT",0
1945,"WA","TWL",564.695032144945
1946,"CA","HKL",385.64362810112
1946,"CA","POT",0
1946,"CA","TWL",819.49270971488
1946,"OR","HKL",367.0923
1946,"OR","POT",0
1946,"OR","TWL",291.7649
1946,"WA","HKL",2046.57352941176
1946,"WA","POT",0
1946,"WA","TWL",544.301470588235
1947,"CA","HKL",130.9407613184
1947,"CA","POT",0
1947,"CA","TWL",278.2491178016
1947,"OR","HKL",75.0695
1947,"OR","POT",0
1947,"OR","TWL",110.5675
1947,"WA","HKL",1516.20400381316
1947,"WA","POT",0
1947,"WA","TWL",121.795996186845
1948,"CA","HKL",300.08674787853
1948,"CA","POT",0
1948,"CA","TWL",637.684339241877
1948,"OR","HKL",256.1436
1948,"OR","POT",0
1948,"OR","TWL",68.6598
1948,"WA","HKL",1350.32928469821
1948,"WA","POT",0
1948,"WA","TWL",241.185094081477
1949,"CA","HKL",256.635256187027
1949,"CA","POT",0
1949,"CA","TWL",545.349919397432
1949,"OR","HKL",205.6134
1949,"OR","POT",0
1949,"OR","TWL",50.4038
1949,"WA","HKL",1552.726526085
1949,"WA","POT",0
1949,"WA","TWL",415.288792462716
1950,"CA","HKL",273.774202941316
1950,"CA","POT",0
1950,"CA","TWL",581.770181250296
1950,"OR","HKL",125.6904
1950,"OR","POT",0
1950,"OR","TWL",78.8089
1950,"WA","HKL",1243.23890284243
1950,"WA","POT",0
1950,"WA","TWL",359.961031171819
1951,"CA","HKL",425.038207845103
1951,"CA","POT",0
1951,"CA","TWL",903.206191670843
1951,"OR","HKL",149.8216
1951,"OR","POT",0
1951,"OR","TWL",177.5538
1951,"WA","HKL",1703.23204831594
1951,"WA","POT",0
1951,"WA","TWL",927.49530658727
1952,"CA","HKL",274.264223896945
1952,"CA","POT",0
1952,"CA","TWL",582.811475781009
1952,"OR","HKL",33.2483
1952,"OR","POT",0
1952,"OR","TWL",113.2058
1952,"WA","HKL",1185.16748832609
1952,"WA","POT",0
1952,"WA","TWL",461.856178784045
1953,"CA","HKL",285.082832240222
1953,"CA","POT",0
1953,"CA","TWL",605.801018510471
1953,"OR","HKL",31.6607
1953,"OR","POT",0
1953,"OR","TWL",118.2125
1953,"WA","HKL",710.127427351256
1953,"WA","POT",0
1953,"WA","TWL",66.8602262435106
1954,"CA","HKL",368.077965164843
1954,"CA","POT",0
1954,"CA","TWL",782.165675975291
1954,"OR","HKL",88.6773
1954,"OR","POT",0
1954,"OR","TWL",190.8175
1954,"WA","HKL",919.674457783526
1954,"WA","POT",0
1954,"WA","TWL",92.1262733200954
1955,"CA","HKL",331.07705097966
1955,"CA","POT",0
1955,"CA","TWL",703.538733331778
1955,"OR","HKL",35.5617
1955,"OR","POT",0
1955,"OR","TWL",120.7958
1955,"WA","HKL",974.50605
1955,"WA","POT",0
1955,"WA","TWL",144.81405
1956,"CA","HKL",462.130170389595
1956,"CA","POT",0
1956,"CA","TWL",982.02661207789
1956,"OR","HKL",57.0166
1956,"OR","POT",0
1956,"OR","TWL",225.4174
1956,"WA","HKL",523.85906986745
1956,"WA","POT",0
1956,"WA","TWL",1325.21614498017
1957,"CA","HKL",356.322463250846
1957,"CA","POT",0
1957,"CA","TWL",757.185234408048
1957,"OR","HKL",172.9094
1957,"OR","POT",0
1957,"OR","TWL",132.9054
1957,"WA","HKL",1129.70177041185
1957,"WA","POT",0
1957,"WA","TWL",146.130722781499
1958,"CA","HKL",273.251246221672
1958,"CA","POT",0
1958,"CA","TWL",580.658898221054
1958,"OR","HKL",35.0173
1958,"OR","POT",0
1958,"OR","TWL",92.6507
1958,"WA","HKL",494.150528667241
1958,"WA","POT",0
1958,"WA","TWL",142.741257179211
1959,"CA","HKL",289.091248128942
1959,"CA","POT",0
1959,"CA","TWL",614.318902274003
1959,"OR","HKL",75.7953
1959,"OR","POT",0
1959,"OR","TWL",73.034
1959,"WA","HKL",895.478040085757
1959,"WA","POT",0
1959,"WA","TWL",314.583015475697
1960,"CA","HKL",389.027696246968
1960,"CA","POT",0
1960,"CA","TWL",826.683854524807
1960,"OR","HKL",82.4177
1960,"OR","POT",0
1960,"OR","TWL",123.393
1960,"WA","HKL",1283.55488245446
1960,"WA","POT",0
1960,"WA","TWL",366.957599989712
1961,"CA","HKL",243.522454629973
1961,"CA","POT",0
1961,"CA","TWL",517.485216088693
1961,"OR","HKL",147.4629
1961,"OR","POT",0
1961,"OR","TWL",120.6687
1961,"WA","HKL",691.048407740616
1961,"WA","POT",0
1961,"WA","TWL",143.405428687662
1962,"CA","HKL",292.74291445497
1962,"CA","POT",0
1962,"CA","TWL",622.078693216812
1962,"OR","HKL",78.29
1962,"OR","POT",0
1962,"OR","TWL",105.132
1962,"WA","HKL",661.408091975492
1962,"WA","POT",0
1962,"WA","TWL",898.115343875507
1963,"CA","HKL",265.851520524198
1963,"CA","POT",0
1963,"CA","TWL",564.934481113921
1963,"OR","HKL",112.627
1963,"OR","POT",0
1963,"OR","TWL",151.5446
1963,"WA","HKL",600.087162924955
1963,"WA","POT",0
1963,"WA","TWL",182.185699067153
1964,"CA","HKL",357.560700345261
1964,"CA","POT",0
1964,"CA","TWL",759.816488233679
1964,"OR","HKL",7.8471
1964,"OR","POT",0
1964,"OR","TWL",186.4041
1964,"WA","HKL",665.041626170422
1964,"WA","POT",0
1964,"WA","TWL",89.9135562182759
1965,"CA","HKL",415.642684836935
1965,"CA","POT",0
1965,"CA","TWL",883.240705278487
1965,"OR","HKL",83.461
1965,"OR","POT",0
1965,"OR","TWL",88.4513
1965,"WA","HKL",435.758730023999
1965,"WA","POT",0
1965,"WA","TWL",49.3306761011091
1966,"CA","HKL",466.791753319566
1966,"CA","POT",0
1966,"CA","TWL",991.932475804077
1966,"OR","HKL",96.978
1966,"OR","POT",0
1966,"OR","TWL",84.7196
1966,"WA","HKL",198.699965771269
1966,"WA","POT",0
1966,"WA","TWL",55.2447755608723
1967,"CA","HKL",551.34913533323
1967,"CA","POT",0
1967,"CA","TWL",1171.61691258311
1967,"OR","HKL",210.6937
1967,"OR","POT",0
1967,"OR","TWL",90.7831
1967,"WA","HKL",73.8720728457099
1967,"WA","POT",0
1967,"WA","TWL",48.5633230740368
1968,"CA","HKL",467.302095140471
1968,"CA","POT",0
1968,"CA","TWL",993.016952173501
1968,"OR","HKL",231.7857
1968,"OR","POT",0
1968,"OR","TWL",58.491
1968,"WA","HKL",22.9761
1968,"WA","POT",0
1968,"WA","TWL",38.0259
1969,"CA","HKL",692.300686696
1969,"CA","POT",0.422294152
1969,"CA","TWL",1198.825058728
1969,"OR","HKL",253.5621
1969,"OR","POT",0
1969,"OR","TWL",121.4619
1969,"WA","HKL",49.6404978892344
1969,"WA","POT",14.1252717582815
1969,"WA","TWL",30.6557546522118
1970,"CA","HKL",565.718581624
1970,"CA","POT",0.110676448
1970,"CA","TWL",1444.06456304
1970,"OR","HKL",21.9116
1970,"OR","POT",0
1970,"OR","TWL",105.7604
1970,"WA","HKL",58.060229592
1970,"WA","POT",113.846602488
1970,"WA","TWL",40.82554796
1971,"CA","HKL",513.213039664
1971,"CA","POT",60.828047976
1971,"CA","TWL",1287.15348248
1971,"OR","HKL",6.3984
1971,"OR","POT",0
1971,"OR","TWL",194.991
1971,"WA","HKL",30.153888976
1971,"WA","POT",119.947414888
1971,"WA","TWL",34.803660568
1972,"CA","HKL",1023.364333328
1972,"CA","POT",272.842845472
1972,"CA","TWL",2513.503410952
1972,"OR","HKL",11.1595
1972,"OR","POT",0
1972,"OR","TWL",207.4546
1972,"WA","HKL",72.526185656
1972,"WA","TWL",10.461192296
1973,"CA","HKL",186.465320912
1973,"CA","POT",292.948764464
1973,"CA","TWL",3401.67464868
1973,"OR","HKL",73.2561
1973,"OR","POT",0
1973,"OR","TWL",531.6351
1973,"WA","HKL",48.140172552
1973,"WA","POT",159.5396462
1973,"WA","TWL",25.273239056
1974,"CA","HKL",177.240166816
1974,"CA","POT",2793.908088656
1974,"CA","TWL",2491.343627384
1974,"OR","HKL",1.3608
1974,"OR","POT",0
1974,"OR","TWL",301.8213
1974,"WA","HKL",153.855684848
1974,"WA","POT",208.401937216
1974,"WA","TWL",39.776389664
1975,"CA","HKL",217.607586856
1975,"CA","POT",3104.82363224
1975,"CA","TWL",3084.030067776
1975,"OR","HKL",0.0907
1975,"OR","POT",0
1975,"OR","TWL",350.2569
1975,"WA","HKL",168.417348824
1975,"WA","POT",572.062972928
1975,"WA","TWL",96.096640344
1976,"CA","HKL",230.214269312
1976,"CA","POT",2988.821106976
1976,"CA","TWL",2829.982714008
1976,"OR","HKL",1.2143
1976,"OR","POT",0
1976,"OR","TWL",500.4128
1976,"WA","HKL",199.538295944
1976,"WA","POT",117.532944672
1976,"WA","TWL",250.583725256
1977,"CA","HKL",322.040794568
1977,"CA","POT",3198.093033648
1977,"CA","TWL",2521.950201176
1977,"OR","HKL",14.1411
1977,"OR","POT",0
1977,"OR","TWL",419.1188
1977,"WA","HKL",294.184802664
1977,"WA","POT",358.077318192
1977,"WA","TWL",407.310193872
1978,"CA","HKL",333.31798980016
1978,"CA","POT",5029.71105576144
1978,"CA","TWL",2676.5371670464
1978,"OR","HKL",320.5029
1978,"OR","POT",329.0032
1978,"OR","TWL",1083.6308
1978,"WA","HKL",606.574520248
1978,"WA","POT",486.465626608
1978,"WA","TWL",651.866588632
1979,"CA","HKL",792.20868825104
1979,"CA","POT",7481.17612641936
1979,"CA","TWL",4690.2078673056
1979,"OR","HKL",1821.1276
1979,"OR","POT",4351.0181
1979,"OR","TWL",1554.5245
1979,"WA","HKL",1537.459609432
1979,"WA","POT",416.77847328
1979,"WA","TWL",761.8758028
1980,"CA","HKL",346.424993304
1980,"CA","POT",1362.90334648
1980,"CA","TWL",2928.948777344
1980,"OR","HKL",379.6109
1980,"OR","POT",1241.0487
1980,"OR","TWL",1116.6235
1980,"WA","HKL",542.885667528
1980,"WA","POT",386.602811888
1980,"WA","TWL",454.263769752
1981,"CA","HKL",788.026750809624
1981,"CA","POT",2348.80888593985
1981,"CA","TWL",3581.56372359093
1981,"OR","HKL",700.6401
1981,"OR","POT",277.1722
1981,"OR","TWL",1371.6759
1981,"WA","HKL",486.560098888943
1981,"WA","POT",1271.45361504093
1981,"WA","TWL",599.059060566112
1982,"CA","HKL",747.21967608225
1982,"CA","POT",3436.96981572293
1982,"CA","TWL",5471.76568477738
1982,"OR","HKL",641.2472
1982,"OR","POT",1457.1405
1982,"OR","TWL",2991.3191
1982,"WA","HKL",386.701647831228
1982,"WA","POT",1617.24667417229
1982,"WA","TWL",1877.44993744099
1983,"CA","HKL",282.9860196209
1983,"CA","POT",3170.77042419169
1983,"CA","TWL",3241.04226962889
1983,"OR","HKL",551.4345
1983,"OR","POT",1317.8274
1983,"OR","TWL",2773.1509
1983,"WA","HKL",328.953623817939
1983,"WA","POT",1466.27017734219
1983,"WA","TWL",1519.28759580631
1984,"CA","HKL",52.2842317566351
1984,"CA","POT",1569.31756420063
1984,"CA","TWL",3205.17150912658
1984,"OR","HKL",226.8184
1984,"OR","POT",1828.3655
1984,"OR","TWL",2782.8503
1984,"WA","HKL",722.811870632081
1984,"WA","POT",1002.97065808025
1984,"WA","TWL",2624.44440169992
1985,"CA","HKL",454.204085051073
1985,"CA","POT",1120.65538001238
1985,"CA","TWL",3599.15670637544
1985,"OR","HKL",514.3957
1985,"OR","POT",1898.5794
1985,"OR","TWL",2859.7408
1985,"WA","HKL",1793.25330518472
1985,"WA","POT",851.198560232499
1985,"WA","TWL",1041.10135638543
1986,"CA","HKL",786.570174989858
1986,"CA","POT",1487.89219989043
1986,"CA","TWL",3945.78106977783
1986,"OR","HKL",1078.7216
1986,"OR","POT",1424.0035
1986,"OR","TWL",2151.9704
1986,"WA","HKL",1667.24734049948
1986,"WA","POT",33.9272578088671
1986,"WA","TWL",574.204940344847
1987,"CA","HKL",872.457799602909
1987,"CA","POT",387.69809955048
1987,"CA","TWL",3154.41460729456
1987,"OR","HKL",1000.65652052504
1987,"OR","POT",1689.65262635289
1987,"OR","TWL",2547.79105913374
1987,"WA","HKL",2099.82931228384
1987,"WA","TWL",848.931233409916
1988,"CA","HKL",403.829233050326
1988,"CA","POT",752.349805791251
1988,"CA","TWL",2700.5153862569
1988,"OR","HKL",707.914808567101
1988,"OR","POT",1200.96218553722
1988,"OR","TWL",2173.20313419446
1988,"WA","HKL",1956.21752261618
1988,"WA","POT",179.698328596483
1988,"WA","TWL",669.006199346716
1989,"CA","HKL",384.517237693951
1989,"CA","POT",987.869660885544
1989,"CA","TWL",2702.73499479925
1989,"OR","HKL",424.483896477484
1989,"OR","POT",895.857269213721
1989,"OR","TWL",2628.09759250316
1989,"WA","HKL",1621.86333731802
1989,"WA","POT",162.978460231892
1989,"WA","TWL",476.025143931436
1990,"CA","HKL",652.720781754475
1990,"CA","POT",784.963097221601
1990,"CA","TWL",2312.94596804962
1990,"OR","HKL",397.312080559166
1990,"OR","POT",780.253266202993
1990,"OR","TWL",2527.38956293572
1990,"WA","HKL",1155.02797481049
1990,"WA","POT",99.0357252163184
1990,"WA","TWL",355.738979036693
1991,"CA","HKL",807.961409740049
1991,"CA","POT",354.267434668705
1991,"CA","TWL",2196.03208099171
1991,"OR","HKL",735.657697279728
1991,"OR","POT",709.558173724989
1991,"OR","TWL",2460.72663447497
1991,"WA","HKL",1906.81968054923
1991,"WA","TWL",329.67012288026
1992,"CA","HKL",804.61652888239
1992,"CA","POT",394.291246090907
1992,"CA","TWL",2516.27237681159
1992,"OR","HKL",904.925034289996
1992,"OR","POT",397.222632143727
1992,"OR","TWL",2553.93004608653
1992,"WA","HKL",1388.11684695497
1992,"WA","POT",6.90041001212262
1992,"WA","TWL",394.788655484266
1993,"CA","HKL",464.410911287847
1993,"CA","POT",197.690523559991
1993,"CA","TWL",1936.01793743729
1993,"OR","HKL",669.904040084647
1993,"OR","POT",649.685250893416
1993,"OR","TWL",2515.85570686016
1993,"WA","HKL",1203.86299946428
1993,"WA","POT",0.0522538410678196
1993,"WA","TWL",508.940618598933
1994,"CA","HKL",581.020256428286
1994,"CA","POT",184.970886309785
1994,"CA","TWL",1419.80060696284
1994,"OR","HKL",833.191487439243
1994,"OR","POT",1171.99641179405
1994,"OR","TWL",1999.61551696317
1994,"WA","HKL",962.032585876307
1994,"WA","POT",12.8479131725501
1994,"WA","TWL",413.057606022386
1995,"CA","HKL",877.870608077132
1995,"CA","POT",309.978312750869
1995,"CA","TWL",1631.09539355085
1995,"OR","HKL",635.608918863402
1995,"OR","POT",642.371981105773
1995,"OR","TWL",1856.80921662683
1995,"WA","HKL",1478.41211934948
1995,"WA","POT",112.760613877762
1995,"WA","TWL",369.856540798806
1996,"CA","HKL",1229.50611837594
1996,"CA","POT",204.661240389523
1996,"CA","TWL",1761.69788188057
1996,"OR","HKL",592.086912362352
1996,"OR","POT",506.157466532753
1996,"OR","TWL",2076.57834881509
1996,"WA","HKL",1540.90862045133
1996,"WA","POT",39.5341130991389
1996,"WA","TWL",365.812910374656
1997,"CA","HKL",1190.03960314986
1997,"CA","POT",207.379710183687
1997,"CA","TWL",1570.66754581335
1997,"OR","HKL",751.713960006452
1997,"OR","POT",324.869750270457
1997,"OR","TWL",1848.35075127733
1997,"WA","HKL",1645.02548740065
1997,"WA","POT",51.8880641803449
1997,"WA","TWL",353.175561049083
1998,"CA","HKL",466.135650916981
1998,"CA","POT",57.4646195002753
1998,"CA","TWL",929.911260730873
1998,"OR","HKL",346.049248102154
1998,"OR","POT",350.003303513233
1998,"OR","TWL",1054.28111773615
1998,"WA","HKL",946.507933407669
1998,"WA","POT",40.1946343088869
1998,"WA","TWL",193.460336436174
1999,"CA","HKL",651.30110567404
1999,"CA","POT",113.778203001473
1999,"CA","TWL",1206.353380335
1999,"OR","HKL",664.936659318138
1999,"OR","POT",631.965755662981
