"year","state","geargroup","catch_mt"
1890,"WA","HKL",2.115
1890,"WA","POT",0
1890,"WA","TWL",0
1891,"WA","HKL",6.075
1891,"WA","POT",0
1891,"WA","TWL",0
1892,"OR","HKL",0.416666666666667
1892,"WA","HKL",6.75
1892,"WA","POT",0
1892,"WA","TWL",0
1893,"OR","HKL",0.833333333333333
1893,"WA","HKL",10.05
1893,"WA","POT",0
1893,"WA","TWL",0
1894,"OR","HKL",1.25
1894,"WA","HKL",13.35
1894,"WA","POT",0
1894,"WA","TWL",0
1895,"OR","HKL",1.66666666666667
1895,"WA","HKL",16.65
1895,"WA","POT",0
1895,"WA","TWL",0
1896,"OR","HKL",2.08333333333333
1896,"WA","HKL",18.675
1896,"WA","POT",0
1896,"WA","TWL",0
1897,"OR","HKL",2.5
1897,"WA","HKL",20.7
1897,"WA","POT",0
1897,"WA","TWL",0
1898,"OR","HKL",2.91666666666667
1898,"WA","HKL",22.725
1898,"WA","POT",0
1898,"WA","TWL",0
1899,"OR","HKL",3.33333333333333
1899,"WA","HKL",24.75
1899,"WA","POT",0
1899,"WA","TWL",0
1900,"OR","HKL",3.75
1900,"WA","HKL",74.108376
1900,"WA","POT",0
1900,"WA","TWL",0
1901,"CA","HKL",0.606241077599365
1901,"CA","POT",0
1901,"CA","TWL",1.37449187240064
1901,"OR","HKL",4.16666666666667
1901,"WA","HKL",87.96672
1901,"WA","POT",0
1901,"WA","TWL",0
1902,"CA","HKL",1.21378816719301
1902,"CA","POT",0
1902,"CA","TWL",2.75194478280699
1902,"OR","HKL",4.58333333333333
1902,"WA","HKL",104.7834
1902,"WA","POT",0
1902,"WA","TWL",0
1903,"CA","HKL",1.82133525678666
1903,"CA","POT",0
1903,"CA","TWL",4.12939769321334
1903,"OR","HKL",5
1903,"WA","HKL",125.298
1903,"WA","POT",0
1903,"WA","TWL",0
1904,"CA","HKL",2.42888234638031
1904,"CA","POT",0
1904,"CA","TWL",5.5068506036197
1904,"OR","HKL",5.41666666666667
1904,"WA","HKL",150.435
1904,"WA","POT",0
1904,"WA","TWL",0
1905,"CA","HKL",3.03642943597395
1905,"CA","POT",0
1905,"CA","TWL",6.88430351402605
1905,"OR","HKL",5.83333333333333
1905,"WA","HKL",131.72625
1905,"WA","POT",0
1905,"WA","TWL",0
1906,"CA","HKL",3.6439765255676
1906,"CA","POT",0
1906,"CA","TWL",8.2617564244324
1906,"OR","HKL",6.25
1906,"WA","HKL",113.0175
1906,"WA","POT",0
1906,"WA","TWL",0
1907,"CA","HKL",4.25152361516125
1907,"CA","POT",0
1907,"CA","TWL",9.63920933483876
1907,"OR","HKL",6.66666666666667
1907,"WA","HKL",94.30875
1907,"WA","POT",0
1907,"WA","TWL",0
1908,"CA","HKL",4.85907070475489
1908,"CA","POT",0
1908,"CA","TWL",11.0166622452451
1908,"OR","HKL",7.08333333333333
1908,"WA","HKL",75.6
1908,"WA","POT",0
1908,"WA","TWL",0
1909,"CA","HKL",5.45405895431672
1909,"CA","POT",0
1909,"CA","TWL",12.3656412956833
1909,"OR","HKL",7.5
1909,"WA","HKL",129.6
1909,"WA","POT",0
1909,"WA","TWL",0
1910,"CA","HKL",6.04904720387854
1910,"CA","POT",0
1910,"CA","TWL",13.7146203461215
1910,"OR","HKL",7.91666666666667
1910,"WA","HKL",183.6
1910,"WA","POT",0
1910,"WA","TWL",0
1911,"CA","HKL",6.64403545344036
1911,"CA","POT",0
1911,"CA","TWL",15.0635993965596
1911,"OR","HKL",8.33333333333334
1911,"WA","HKL",237.6
1911,"WA","POT",0
1911,"WA","TWL",0
1912,"CA","HKL",7.23902370300219
1912,"CA","POT",0
1912,"CA","TWL",16.4125784469978
1912,"OR","HKL",8.75
1912,"WA","HKL",291.6
1912,"WA","POT",0
1912,"WA","TWL",0
1913,"CA","HKL",7.83401195256401
1913,"CA","POT",0
1913,"CA","TWL",17.761557497436
1913,"OR","HKL",9.16666666666667
1913,"WA","HKL",345.6
1913,"WA","POT",0
1913,"WA","TWL",0
1914,"CA","HKL",8.42900020212584
1914,"CA","POT",0
1914,"CA","TWL",19.1105365478742
1914,"OR","HKL",9.58333333333333
1914,"WA","HKL",399.6
1914,"WA","POT",0
1914,"WA","TWL",0
1915,"CA","HKL",8.87600282025983
1915,"CA","POT",0
1915,"CA","TWL",20.1239971797402
1915,"OR","HKL",10
1915,"WA","HKL",453.6
1915,"WA","POT",0
1915,"WA","TWL",0
1916,"CA","HKL",11.609430558392
1916,"CA","POT",0
1916,"CA","TWL",26.321324198118
1916,"OR","HKL",16
1916,"WA","HKL",1260.26943038603
1916,"WA","POT",0
1916,"WA","TWL",0
1917,"CA","HKL",126.314458412526
1917,"CA","POT",0
1917,"CA","TWL",286.384745062494
1917,"OR","HKL",227
1917,"WA","HKL",1341.6057793799
