"year","month","fleet","sex","partition","input_n","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","f58","f60","f62","f64","f66","f68","f70","f72","f74","f76","f78","f80","f82","f84","f86","f88","f90","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56","m58","m60","m62","m64","m66","m68","m70","m72","m74","m76","m78","m80","m82","m84","m86","m88","m90"
2003,7,"Enter Fleet",0,0,14,4.01875732583654,12.0562719775096,36.1688159325288,0,0,0,0,0,0,0,0,0,0,0,0,2.30725644280254,5.53114348813082,0,0,2.52804638913658,2.52804638913658,0,2.83487200251412,0,32.0267900524044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,"Enter Fleet",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2674408500269,48.1976774499192,17.2674408500269,17.2674408500269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,"Enter Fleet",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6995197878269,0,22.9429943463352,7.64766478211172,7.64766478211172,19.1191619552793,11.4714971731676,7.64766478211172,3.82383239105586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,"Enter Fleet",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,"Enter Fleet",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31815241553405,21.1956180121726,10.5978090060863,30.5137704277066,10.5978090060863,10.5978090060863,0,7.17903212632781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,"Enter Fleet",0,0,119,4.72544694319942,7.66236221544254,24.8349062804565,40.114139692234,11.1974087888247,0.430514580882067,0,0,0,0,0,0,0,0.137050815158136,0.957910501663443,0.958633103885197,1.97313221513805,2.68595799350168,1.26030643677442,0.966917157162794,0.561627810808142,0.972057654060796,0.288248782713625,0,0.273379028094517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,"Enter Fleet",0,0,16,0,6.38019550828793,11.1892251265014,41.9389284353201,11.1892251265014,2.97853285045032,2.97853285045032,18.0028832408543,2.89354106082639,0,0,0,0,0,0,0,0,0,2.4489358008077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,"Enter Fleet",0,0,57,0.15893719472619,5.06855208998647,27.7355606424861,51.3536390632639,15.0714008159304,0.169711856068323,0.177056331514606,0,0,0,0,0,0,0,0.124219335015945,0,0,0,0,0,0,0,0,0,0,0,0.140922671007996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,"Enter Fleet",0,0,16,1.37852003605334,16.7369023367323,30.0149853833874,29.540959870484,13.4277090320382,0,0,0,1.29942800791371,1.02161336849046,0,0,0,0,1.31597639298013,1.31597639298013,2.63195278596025,0,1.31597639298013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,"Enter Fleet",0,0,15,7.56732571614362,13.2982097778946,17.7970746594305,13.0695607681317,0,0,0,0,0,0,18.1407274844921,0,0,4.55582316338185,7.34798577699817,4.55582316338185,4.55582316338185,4.55582316338185,4.55582316338185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,"Enter Fleet",0,0,45,0,5.07246929902074,11.7048646589705,22.9843835217704,26.5741411732476,14.5716813335834,2.84608741120012,0.478474589537241,0.383514749205421,0.682587914085252,0.383514749205421,0.395875149568515,0.750599673422474,2.54543780384627,0.299073164879831,7.14649287171847,0,0,0.526021430850398,0.674373001591068,0,0,0,0,0,0.526021430850398,1.20707815725878,0,0,0,0,0,0,0,0,0.247307916187711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,"Enter Fleet",0,0,7,0,0,14.2872453204614,42.1286146059816,0,13.9604272274536,0,0,14.3116267874976,0,0,0,15.3120860586057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,"Enter Fleet",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6315166447731,28.0695768466956,5.41041445480231,0,22.6243812652786,23.836191760964,6.4279190274864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,"Enter Fleet",0,0,28,0,4.06531868978676,6.1255743228867,22.8703989669198,42.2910796555712,7.91624583630933,0.550338253686155,0,0,0.965837944674215,2.89751383402264,4.82918972337107,1.93167588934843,1.93167588934843,0.965837944674215,0,0,0,0,2.65931304940104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
