"#year","month","fleet","partition","type","obs","cv"
2002,7,1,1,2,0.9456,0.0847
2003,7,1,1,2,1.0747,0.0468
2004,7,1,1,2,1.2096,0.0438
2005,7,1,1,2,1.0354,0.0723
2006,7,1,1,2,1.1341,0.0491
2007,7,1,1,2,1.3246,0.061
2008,7,1,1,2,1.3711,0.1306
2009,7,1,1,2,0.5265,0.2865
2010,7,1,1,2,0.7403,0.0979
2011,7,1,1,2,0.5226,0.4878
2012,7,1,1,2,0.601,0.3072
2013,7,1,1,2,0.4871,0.2307
2014,7,1,1,2,0.4526,0.5531
2015,7,1,1,2,0.5607,0.2685
2016,7,1,1,2,0.6533,0.1744
2017,7,1,1,2,0.4701,0.45
2018,7,1,1,2,0.7115,0.1792
2019,7,1,1,2,0.7877,0.1393
2020,7,1,1,2,0.7166,0.0912
2021,7,1,1,2,0.5873,0.1957
2022,7,1,1,2,0.6186,0.1129
2002,7,2,1,2,1.7363,0.1018
2003,7,2,1,2,1.3957,0.0944
2004,7,2,1,2,1.5198,0.1076
2005,7,2,1,2,2.1427,0.1131
2006,7,2,1,2,2.0402,0.1253
2007,7,2,1,2,2.2566,0.0882
2008,7,2,1,2,2.1813,0.0785
2009,7,2,1,2,2.1397,0.177
2010,7,2,1,2,1.1626,0.0599
2011,7,2,1,2,1.2949,0.0489
2012,7,2,1,2,1.3519,0.0401
2013,7,2,1,2,1.4718,0.0712
2014,7,2,1,2,1.5175,0.0787
2015,7,2,1,2,1.4614,0.0526
2016,7,2,1,2,1.4243,0.0504
2017,7,2,1,2,1.5133,0.0581
2018,7,2,1,2,1.6357,0.0463
2019,7,2,1,2,1.5527,0.0412
2020,7,2,1,2,1.857,0.1286
2021,7,2,1,2,1.7517,0.0603
2022,7,2,1,2,1.6435,0.0717
2002,7,3,1,2,1.4063,0.0613
2003,7,3,1,2,1.3524,0.0539
2004,7,3,1,2,1.5242,0.0902
2005,7,3,1,2,1.6683,0.0641
2006,7,3,1,2,1.6142,0.0969
2007,7,3,1,2,1.6664,0.105
2008,7,3,1,2,1.9855,0.1024
2009,7,3,1,2,1.5957,0.0975
2010,7,3,1,2,1.2095,0.1043
2011,7,3,1,2,1.4666,0.0675
2012,7,3,1,2,1.2515,0.1144
2013,7,3,1,2,1.4088,0.1356
2014,7,3,1,2,1.5269,0.1318
2015,7,3,1,2,1.3097,0.0935
2016,7,3,1,2,1.4433,0.0581
2017,7,3,1,2,1.6959,0.0941
2018,7,3,1,2,1.4812,0.0635
2019,7,3,1,2,1.6797,0.0573
2020,7,3,1,2,1.6423,0.0712
2021,7,3,1,2,1.4169,0.0725
2022,7,3,1,2,1.4128,0.0789
