"year","seas","Sex","GP","bseas","Fleet","a0","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30"
-1892,1,1,1,1,1,24.8894472361809,36.2450980392157,43.7934224049332,49.42138671875,53.4312875250167,55.5572217837411,57.6578449905482,59.1046931407942,59.4667721518987,59.7628504672897,59.6535433070866,60.2547770700637,60.9686468646865,60.961038961039,61.6214285714286,60.9708994708995,62.6601123595506,62.3798701298701,62.9867549668874,63.5576923076923,63.1637931034483,63.6793893129771,63.5618556701031,63.9086956521739,64.0229885057471,63.3923076923077,63.4259259259259,64.25,64.6264367816092,64.4047619047619,63.9063126252505
-1892,1,2,1,1,1,24.9137010676157,35.9991124260355,42.8108244815377,47.2559863169897,49.8923240938166,51.4206989247312,52.3181818181818,53.2051948051948,53.9263074484945,53.9553072625698,54.7841163310962,54.3128140703518,54.6107871720117,54.9756554307116,55.6565217391304,55.7181818181818,56.3787128712871,56.8630952380952,56.7058823529412,56.2364864864865,57.1417910447761,57.4452054794521,57.8823529411765,57.6585365853659,57.4681818181818,57.6036036036036,58.3295454545455,57.4713114754098,57.5392156862745,58.3673469387755,57.9209770114943
1997,1,1,1,1,1,26.625,37.4761904761905,44.8823529411765,48.3943661971831,50.7608695652174,53.0909090909091,54.3148148148148,58.8888888888889,57.4705882352941,58.4838709677419,58.4375,59.962962962963,59.6842105263158,58.2777777777778,60.6428571428571,60.8571428571429,59.9615384615385,61.7272727272727,61.9444444444444,65.1052631578947,60.1818181818182,63.6,59.3333333333333,58.7272727272727,57.7142857142857,61.3333333333333,62.25,66.3333333333333,63.8181818181818,61.3333333333333,63.0925925925926
1997,1,2,1,1,1,29.6923076923077,36.9633027522936,43.2565789473684,47.0476190476191,48.125,47.7741935483871,48.6875,51,53.0344827586207,53.4,52.5714285714286,53.9090909090909,53.0833333333333,54.5882352941176,56.2,50.4166666666667,55.25,58.3076923076923,56.1764705882353,54.9285714285714,59.0769230769231,58.9,55.7692307692308,58.5833333333333,56.1818181818182,56.7142857142857,56.7142857142857,57,55.2857142857143,57.4210526315789,57.6013986013986
1998,1,1,1,1,1,NA,38.5,44.5625,51.969387755102,55.3421052631579,56.5,62.1538461538462,63.8333333333333,69.1176470588235,63.25,74,59,64.4,66.5,77,65,NA,59,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,1,2,1,1,1,NA,38.25,43.5263157894737,48.0352941176471,52.4594594594595,53.5714285714286,59.25,59.6363636363636,58.5555555555556,60.6666666666667,63,63.75,NA,64.6666666666667,NA,57,NA,54,61,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,1,1,1,1,1,28,NA,45.8421052631579,51.6,54.4827586206897,54.8125,53.6923076923077,59.875,62.25,65.0714285714286,59.7272727272727,62,63,67.6,61.4,62.6666666666667,61,64.5,63.25,61.4285714285714,64.5,62.1666666666667,62.8,61.25,64.75,64.6666666666667,62.8571428571429,64.5,64.3333333333333,66,64.945945945946
1999,1,2,1,1,1,27.3636363636364,31.5,44.375,49,51.6785714285714,52.5333333333333,52.1818181818182,53.4285714285714,53.5,53.8,57,54.7272727272727,53.75,55.75,58.75,56.8,54,61.6,53.6666666666667,59.3333333333333,56.5,60,57.25,57.2857142857143,54,58.5,59.1666666666667,60.75,59,59.5,59.0476190476191
2000,1,1,1,1,1,24.0714285714286,40.8333333333333,41.0084745762712,49.5277777777778,55.2333333333333,56.7538461538462,57.8717948717949,57.8823529411765,60.2,61.1538461538462,63.25,62.28125,63.9615384615385,59.125,60.8461538461538,61.7894736842105,64.6,64.6428571428571,64.2666666666667,64.4,63.6153846153846,62.1764705882353,62.9230769230769,60.6,64.1875,61.2,61.9,63,66.25,62.4,63.8615384615385
2000,1,2,1,1,1,24.2,39.974358974359,40.7474747474747,46.6875,52.1851851851852,52.6785714285714,52.2058823529412,50.9444444444444,54.45,54.7647058823529,59.0952380952381,56.1904761904762,54.56,55.2666666666667,53.8636363636364,57.2666666666667,54.2,57.375,58.5,56.6923076923077,57.8333333333333,58.3636363636364,60.5555555555556,56.8333333333333,58.0769230769231,59,58.1428571428571,57.3846153846154,56.9230769230769,58.0714285714286,58.2857142857143
2001,1,1,1,1,1,28.8571428571429,36.6875,46.0344827586207,51.4,57.5238095238095,60.6,62.2407407407407,66.1153846153846,62.6923076923077,66,64.875,68,66.7272727272727,62.2,62.5,66,67.2,65.8,71.6666666666667,62.3333333333333,64.8,67,65.6,65.8,70,NA,64,68.6666666666667,64.5,67.75,66
2001,1,2,1,1,1,27.1666666666667,35.925,44.445652173913,49.5714285714286,52.8888888888889,53.7777777777778,55.44,55.8235294117647,56.9090909090909,58.75,63.1818181818182,59,59.1428571428571,56.125,58,59.375,54.3333333333333,57,53.5,58,57.5,55.6666666666667,59.1666666666667,58,65,57.25,59.5,57,55.8,56,59.5111111111111
2003,1,1,1,1,1,23.8125,37.6438356164384,45.8245614035088,52.6086956521739,55.4744525547445,56.4838709677419,57.4705882352941,60.7142857142857,64.7368421052632,63.8888888888889,58.3333333333333,65.75,64.4,62.7777777777778,58.5,NA,67.5,70.5,61,66.25,61.3333333333333,62.3333333333333,61,60,57,65.3333333333333,67,NA,61.5,61,64.0833333333333
2003,1,2,1,1,1,24.1481481481481,37.6086956521739,43.8775510204082,49.3396226415094,50.6644295302013,50.7857142857143,51.75,54.9090909090909,58.6363636363636,58.3846153846154,63.6666666666667,54,58.3333333333333,56.8333333333333,57.625,54,59.25,66,55.6666666666667,54.5,59.3333333333333,55.6,54.75,61.3333333333333,63,57,56.6666666666667,54.5,55,57,57.7241379310345
2004,1,1,1,1,1,25.1639344262295,39.2972972972973,46.2686567164179,52.4205607476636,56.9553072625698,58.2888888888889,58.2820512820513,56.4545454545455,61.5,65.3333333333333,64.2857142857143,62,54,70.3333333333333,58.25,55,64.4,59.5,60.5,61.5,59.25,67,70,62.3333333333333,63,63.5,62,60,56.5,NA,61.9444444444444
2004,1,2,1,1,1,25.3166666666667,38.225,45.0744680851064,49.020618556701,52.0280898876404,52.8028169014084,53.3157894736842,52.4444444444444,53,56.6666666666667,57.25,54.6666666666667,57.5,56.2,55.8571428571429,58.3333333333333,56,60.8,55.4,56.25,53.5,58.7142857142857,55,55,54.8333333333333,56.6,56,57.6666666666667,56,58.8333333333333,56.6739130434783
2005,1,1,1,1,1,24,37.635593220339,46.1951219512195,51.9902912621359,54.4639175257732,57.5769230769231,59.5384615384615,58.6206896551724,61.5,58.25,63,64,63.3636363636364,66.5,65.5,61.0833333333333,64.75,62.375,63.6666666666667,60.4,64.4285714285714,65.75,66,65.75,63,57,60,63.6,66.4,63.3333333333333,62.28125
2005,1,2,1,1,1,25,36.9619047619048,45.1951219512195,49.3269230769231,51.0833333333333,52.3615384615385,52.5438596491228,52.4782608695652,55.3333333333333,55.8333333333333,54.8095238095238,54.9166666666667,56.25,54.875,56,58.2,56.75,55.1666666666667,55.6923076923077,56.125,55.8571428571429,57,57.6666666666667,57,57.6428571428571,55.2857142857143,55.8,53.75,58.8,54.3333333333333,56.1372549019608
2006,1,1,1,1,1,22,36.8333333333333,45.6153846153846,50.1612903225806,55.9846153846154,58.8076923076923,60.2752293577982,61.5492957746479,60.1153846153846,59.3333333333333,60.6666666666667,61.8333333333333,61.7272727272727,60.7142857142857,61.8571428571429,63,67.5,64.8,63.2857142857143,62.2222222222222,65,62.2857142857143,66.2,63.4,64,63.5,NA,63.75,67.75,65.5,63.1666666666667
2006,1,2,1,1,1,24.6666666666667,36.5,44.7254901960784,49.36,52.6041666666667,52.5108695652174,54.3162393162393,53.5892857142857,54.9090909090909,51.2083333333333,54.7142857142857,58.4285714285714,58.25,56.2727272727273,55.6666666666667,56.4285714285714,57.8,55.6,57,56.3636363636364,59.8333333333333,55.6666666666667,57.9230769230769,56.4285714285714,55.4,56.5833333333333,61,60.4,58.6666666666667,56,57.1637931034483
2007,1,1,1,1,1,30,36.9642857142857,47.8,52.4516129032258,55.3333333333333,58.6304347826087,58.5692307692308,62.1818181818182,61.3015873015873,59.0555555555556,60.2307692307692,59.6428571428571,65,60.5,69.5714285714286,62.2857142857143,64.6666666666667,62.6,64.2222222222222,64.1666666666667,64.3333333333333,64,62.6,65.5,63.5,60,62.6666666666667,63,66.75,64.2,63.2894736842105
2007,1,2,1,1,1,NA,36.7142857142857,47.2,50.046875,52.695652173913,54.0175438596491,54.8805970149254,56.0849056603774,54.6862745098039,54.2727272727273,56.3076923076923,52.8181818181818,56.3636363636364,55.8571428571429,55,57.25,57.625,58,57.25,57.4,61.3333333333333,57.6666666666667,57.2857142857143,57.25,56,56.75,57.1666666666667,58.2222222222222,57.8333333333333,64.3333333333333,57.8918918918919
2008,1,1,1,1,1,24.5,39.3333333333333,45.3076923076923,50.75,58.7368421052632,58.3125,60.2380952380952,60.327868852459,61.9885057471264,61.2,60.6818181818182,59.5,57.2307692307692,59.5,63.8,62.6,65,60.2,63.8888888888889,69.2,64.4,63.6666666666667,70.6666666666667,62.875,65.5,63.75,60.8,64.375,65.2,59,63.030303030303
2008,1,2,1,1,1,22.6666666666667,35,45.5625,49.6,52.7058823529412,56,53.3137254901961,55.5652173913044,54.7375,54.1521739130435,55.1875,55.2380952380952,51.5,54.625,55.7142857142857,58.6666666666667,57.1818181818182,58.5,55.5714285714286,57.8333333333333,57.75,57.5,56.3333333333333,58.5714285714286,55.8,57.5,61.7142857142857,58.2727272727273,60.6666666666667,57.3333333333333,58.0246913580247
2009,1,1,1,1,1,23.2,36.3293413173653,42.2222222222222,53.4,57.5714285714286,58.5217391304348,62.4166666666667,60.9411764705882,60.8333333333333,62,59.2162162162162,58,56.7777777777778,60.5,61.3333333333333,62.25,68.8,64.5,66.5,56,59,62.4444444444444,57,62.5,66,68.3333333333333,62.25,67.5,64,60,63.5555555555556
2009,1,2,1,1,1,24.5833333333333,36.0658682634731,44.3636363636364,50.6,56,56.1304347826087,54.4375,54.3333333333333,55.1025641025641,56.2105263157895,55.4655172413793,54.8846153846154,52.2857142857143,53.5714285714286,58,55.8461538461538,54.8571428571429,53,58.5,57.1666666666667,54.5714285714286,58.8571428571429,54.5,57.4,56,60.2,55,57.2857142857143,58.6666666666667,56.8,56.7961165048544
2010,1,1,1,1,1,24,37.6363636363636,44.2686567164179,47.5454545454545,59.1111111111111,59,64.5263157894737,59.7777777777778,60,62.2916666666667,60.7631578947368,59.1875,61.1,59.75,62.5,67.5,60,60.25,68.6666666666667,72,67.5,65.25,60,66.2857142857143,65,NA,60.5,62,63.7142857142857,NA,64.4545454545455
2010,1,2,1,1,1,23.4545454545455,37.2666666666667,43.12109375,46.2,47.6666666666667,55.5,55.7142857142857,54.7391304347826,55.4166666666667,56.2,55.5348837209302,54.075,54.875,53.4285714285714,54,54.5714285714286,62.625,57,56,55.5,58.25,58,57.25,58.6666666666667,57.125,50,58.4,56.3333333333333,57.2,59.2857142857143,57.3260869565217
2011,1,1,1,1,1,23.1052631578947,36.6875,46,49.4940828402367,50.6842105263158,51.75,58.4615384615385,61.0555555555556,60.7333333333333,64.4,63.4615384615385,61.6521739130435,59.75,61.1538461538462,64.6666666666667,61.5,61,55.5,65.6,62.3333333333333,64.6,66.2,64,58,59,67.25,64,61.5,61,66.5,63.2424242424242
2011,1,2,1,1,1,22.9666666666667,36.1529411764706,43.7560975609756,47.4592592592593,48.9444444444444,50.8571428571429,54.375,55.1428571428571,55.96,54.55,55.5,55.32,55.3333333333333,56.5833333333333,58.5,55.4285714285714,56.1111111111111,54.6666666666667,57.4,56,58.3333333333333,57.2,55.2,58,55.5,56,62.8,58.5,62.8,63,57.0571428571429
2012,1,1,1,1,1,24.9,35.3829787234043,43.8076923076923,46.2558139534884,53.353982300885,51.8518518518519,53.1,55.2,62.2857142857143,61.8571428571429,61.3333333333333,66.4666666666667,65.4230769230769,64.4,60.4444444444444,59.3333333333333,61.2857142857143,60.1666666666667,64,71,72.5,64.5,63.6666666666667,65.2,66.25,64.75,64,63.2,61.5,66.3333333333333,63.7435897435897
2012,1,2,1,1,1,26.4615384615385,35.304347826087,42.7821782178218,45.8285714285714,49.1829268292683,50.3478260869565,51.3076923076923,53.6,53.6666666666667,56,56.5,55.8235294117647,57.8518518518519,57.0526315789474,57.3636363636364,54.6153846153846,56.6666666666667,57,62.6666666666667,59,60,55,58.8,58,61,54.25,60,62,56,59.3333333333333,57.7763157894737
2013,1,1,1,1,1,25.9411764705882,35.6,44.3142857142857,48.0821917808219,49.0701754385965,54.2625,57.0625,59.6666666666667,62.2857142857143,63.5,70.75,62.8181818181818,64.8181818181818,64,60.6666666666667,59.1666666666667,66,61.5,59,62.4,65.25,NA,58,69.25,67,63,69,62,69,64,65.5588235294118
2013,1,2,1,1,1,24.64,36.3846153846154,42.7058823529412,46.3763440860215,47.8157894736842,51.34375,51.1428571428571,49.25,57.1666666666667,56.1428571428571,55.1818181818182,53.9166666666667,55.5238095238095,56.695652173913,54,57.2727272727273,56,56,57,NA,56.6666666666667,62.6666666666667,59,58.5,60,57,60,56,56.25,62,57.9016393442623
2014,1,1,1,1,1,26.0714285714286,37.4772727272727,43.7333333333333,50.1904761904762,53.32,53.82,55.0714285714286,54.125,54,53.2,60.1428571428571,58.6666666666667,58.6666666666667,66,60.7142857142857,59.2,60.1428571428571,58.5714285714286,58.75,63.5,58,69.4,62.8,81,67.5,NA,63.5,67,70,68.5,63.4827586206897
2014,1,2,1,1,1,25.7368421052632,37.2012195121951,42.125,48.8947368421053,48.9333333333333,49.4516129032258,51.0819672131148,51.0882352941176,53.05,50.3636363636364,54.2857142857143,56.1666666666667,56.9090909090909,57,57.625,57.5,54.8,54.9444444444444,56.3333333333333,55.6,57,57,57.5,57,53,68.3333333333333,NA,55.1428571428571,58.75,58,58.4677419354839
2015,1,1,1,1,1,24.8,37.1836734693878,43.8176470588235,46.9032258064516,52.15625,54.7358490566038,57.3548387096774,57.7941176470588,51.7272727272727,56,53.3333333333333,59.4285714285714,65.2857142857143,62,66.2,60.6153846153846,64.4,62.1666666666667,58.6666666666667,60.5,62.2,62.5,67.3333333333333,74,67,71,59.3333333333333,69.5,66,64.75,64.5
2015,1,2,1,1,1,25.3333333333333,38.1333333333333,42.8421052631579,44.7222222222222,50.3333333333333,50.7407407407407,51.9393939393939,52.6842105263158,52.2380952380952,49.9166666666667,53.8,56.75,57.8333333333333,55.375,56.5,55.4,59,56.7777777777778,57.1111111111111,55.6666666666667,55,57.5,61.6,54,56,55,56,56.5,58.3333333333333,57.6666666666667,57.7571428571429
2016,1,1,1,1,1,24.6,36.0357142857143,42.8461538461538,48.059375,52.7916666666667,54.9390243902439,56.2682926829268,55.3243243243243,58.2826086956522,55.3529411764706,56.9,59.5,64.1666666666667,54.75,65.7,64.1666666666667,64.1363636363636,62.25,63.25,59.5,NA,64.75,63.3333333333333,67,65,63.5,64.5,70.5,64.25,65.8333333333333,64.0806451612903
2016,1,2,1,1,1,25.6585365853659,36.4375,43.9636363636364,46.6489361702128,47.25,52.08,52.8285714285714,51.1086956521739,52.8333333333333,54.1388888888889,54,53.6666666666667,53.8333333333333,55.6875,58.5833333333333,57.5384615384615,58.15,56.8125,56.5454545454545,54.0555555555556,58.125,59.75,59.8333333333333,56.75,59,60.5,59,59.5,61.8333333333333,60,60.343137254902
2017,1,1,1,1,1,22.7857142857143,34.6008064516129,42.5454545454545,48.2622950819672,51.5742574257426,51.4102564102564,55.8888888888889,54.6851851851852,54.7708333333333,53.9375,55.9583333333333,54.3,58.5,58.4,58.6666666666667,65.7,64.25,60.7777777777778,61.25,64.8,NA,62.6875,65.75,66.1,67,65,66.1,63.5,52.5,62.5,63.78125
2017,1,2,1,1,1,28.5,34.9159292035398,42.8125,47.1136363636364,49.6490384615385,48.4411764705882,50.4285714285714,50.12,52.5769230769231,50.9827586206897,51.4705882352941,52.4444444444444,53.45,53.5,52.5,56.6153846153846,58.625,57.8,55.4166666666667,57.25,56.0714285714286,57,63.1,55.8333333333333,57,62,62,57,54.75,58.5,57.9821428571429
2018,1,1,1,1,1,23.8636363636364,35.3076923076923,43.8660714285714,50.5869565217391,53.9402985074627,53.0707070707071,55.0408163265306,56.0102040816327,54.2631578947368,57.8409090909091,57.2083333333333,64.25,58.25,65.5,63.625,57.25,61.375,63.8333333333333,60.2857142857143,68.7857142857143,61.8888888888889,65.1428571428571,64.1666666666667,70.5,63.75,63,68.5,NA,62.6666666666667,68.5,64.0657894736842
2018,1,2,1,1,1,24.1,35.6153846153846,43.0171428571429,48.4411764705882,49.8454545454545,50.6086956521739,50.3645833333333,51.0119047619048,51.1481481481481,53.4166666666667,53.25,52.5416666666667,54.7222222222222,57.5,57.15,55.05,54.3571428571429,57.0714285714286,55.0833333333333,54.8571428571429,55.1428571428571,56.0714285714286,59.2,56.2,NA,58.25,59,55,55.5,63.2,58.4180327868852
2019,1,1,1,1,1,24.9333333333333,35.5777777777778,45.5714285714286,50.0388349514563,51.0384615384615,56.5,55.5958904109589,53.6111111111111,54.5789473684211,56,57.55,58.1818181818182,56.5,61.3333333333333,65.75,53.5,64.5,64.25,65.6666666666667,63.125,61.8,61.625,62.75,62,NA,NA,74,65.5,68.75,62.5,66.3
2019,1,2,1,1,1,25.3653846153846,35.1388888888889,41.8636363636364,47.6584158415842,48.5925925925926,51.140625,51.8035714285714,50.75,51.5714285714286,54.6666666666667,52.5,50.625,57,57.5,55,56.125,56.4285714285714,55.5,61.4285714285714,55.5,57.4166666666667,57.75,54,57.75,55.5,55.5,56.5,63.5,56.8333333333333,57,59.1724137931034
2021,1,1,1,1,1,24.6147540983607,35.9066390041494,43.6319444444444,47.5882352941176,50.5,54.7189349112426,55.8157894736842,55.468085106383,56.5,53.7647058823529,55.8275862068966,57.765625,56.2083333333333,56.90625,59.3157894736842,62.1818181818182,59.5769230769231,63.1,59.3,61.75,61.4285714285714,62.25,64.1875,63.9090909090909,64.1,59.1,63.9,62.7,66.4,62,64.0531914893617
2021,1,2,1,1,1,24.2388888888889,35.6150442477876,42.8636363636364,46.265625,48.5,50.3381294964029,50.0625,51.390625,51.453488372093,50.6612903225806,51.8214285714286,51.421875,51.9324324324324,51.8269230769231,51.75,52.9545454545455,55.4,55.5833333333333,57.3333333333333,56.5,54,55.2272727272727,56.9545454545455,59.3125,57.6666666666667,58.6428571428571,57.5,57.2,57.1,58.25,58.9583333333333
2022,1,1,1,1,1,22.25,34.0242424242424,42.997461928934,47.8515625,51.3055555555556,56.1785714285714,57.5,59.1136363636364,57.1388888888889,57.5555555555556,57.3,55.4285714285714,56.0217391304348,58.5555555555556,60,59.625,59.8333333333333,59.1666666666667,65.3333333333333,59.5,66,60.5,63.6666666666667,61.375,64.375,61,65.2,65.5,62.8,NA,64.448275862069
2022,1,2,1,1,1,23.4230769230769,33.5718085106383,41.9450261780105,45.7678571428571,47.6,50.8421052631579,51.6325301204819,50.5,52.825,52.1296296296296,52.75,52.1190476190476,51.4411764705882,50.5714285714286,53.1111111111111,55.4166666666667,56.5555555555556,55,57.0714285714286,57,58.6428571428571,56.6428571428571,56,58.625,60.6666666666667,58.125,59.5,57.5,58.6666666666667,NA,58.8723404255319
2023,1,1,1,1,1,25.5454545454545,36.2368421052632,40.5136612021858,46.6640625,50.4404761904762,53.3275862068966,56.4117647058824,59.5393258426966,56.6842105263158,59.8125,58.5,58.1,59.3260869565217,57.6304347826087,59.2666666666667,58.3,59.6666666666667,61.75,61.3,57,63.875,63.5625,65.125,67.9166666666667,63.5,62.875,66.5,60.75,62.8333333333333,71.5,65.5
2023,1,2,1,1,1,25.5266666666667,37.4705882352941,39.5202312138728,44.3390410958904,47.2375,52.3214285714286,51.3918918918919,52.731884057971,52.2291666666667,53,52.7666666666667,51.5,53.84375,53.1875,55.8,54.6071428571429,55.5,56.625,56,57.0714285714286,54.5,58.1666666666667,57.7,56.625,56.1,NA,55.75,53,55.5,57.5,59.1081081081081
