"year","seas","fleet","catch_mt","catch_se"
1901,1,1,1.1408,0.01
1902,1,1,2.2841,0.01
1903,1,1,3.4274,0.01
1904,1,1,4.5707,0.01
1905,1,1,5.714,0.01
1906,1,1,6.8573,0.01
1907,1,1,8.0005,0.01
1908,1,1,9.1438,0.01
1909,1,1,10.2635,0.01
1910,1,1,11.3831,0.01
1911,1,1,12.5028,0.01
1912,1,1,13.6224,0.01
1913,1,1,14.7421,0.01
1914,1,1,15.8617,0.01
1915,1,1,16.7029,0.01
1916,1,1,21.8467,0.01
1917,1,1,237.6993,0.01
1918,1,1,130.3484,0.01
1919,1,1,87.5064,0.01
1920,1,1,204.0464,0.01
1921,1,1,267.1676,0.01
1922,1,1,70.1603,0.01
1923,1,1,140.63,0.01
1924,1,1,243.8294,0.01
1925,1,1,188.7475,0.01
1926,1,1,45.8869,0.01
1927,1,1,259.3331,0.01
1928,1,1,239.5566,0.01
1929,1,1,376.0486,0.01
1930,1,1,355.0802,0.01
1931,1,1,37.2966,0.01
1932,1,1,18.7333,0.01
1933,1,1,57.0746,0.01
1934,1,1,105.5744,0.01
1935,1,1,295.6835,0.01
1936,1,1,45.0521,0.01
1937,1,1,33.5154,0.01
1938,1,1,3.4178,0.01
1939,1,1,82.5479,0.01
1940,1,1,62.6374,0.01
1941,1,1,38.138,0.01
1942,1,1,94.7118,0.01
1943,1,1,526.1631,0.01
1944,1,1,427.7085,0.01
1945,1,1,569.1065,0.01
1946,1,1,357.2028,0.01
1947,1,1,133.9207,0.01
1948,1,1,321.892,0.01
1949,1,1,222.4708,0.01
1950,1,1,276.7642,0.01
1951,1,1,526.9584,0.01
1952,1,1,376.0107,0.01
1953,1,1,498.1276,0.01
1954,1,1,771.012,0.01
1955,1,1,625.8197,0.01
1956,1,1,1001.8431,0.01
1957,1,1,716.3794,0.01
1958,1,1,522.0432,0.01
1959,1,1,551.2267,0.01
1960,1,1,683.3926,0.01
1961,1,1,514.2385,0.01
1962,1,1,594.4258,0.01
1963,1,1,568.9714,0.01
1964,1,1,778.4803,0.01
1965,1,1,790.9199,0.01
1966,1,1,885.7028,0.01
1967,1,1,1541.0941,0.01
