"year","seas","fleet","catch_mt","catch_se"
1968,1,1,1082.4604,0.01
1969,1,1,2036.5335,0.01
1970,1,1,2799.0587,0.01
1971,1,1,2445.0183,0.01
1972,1,1,3522.7619,0.01
1973,1,1,4242.9203,0.01
1974,1,1,3412.0462,0.01
1975,1,1,3786.1535,0.01
1976,1,1,3536.0085,0.01
1977,1,1,3222.2,0.01
1978,1,1,3970.6554,0.01
1979,1,1,6397.8502,0.01
1980,1,1,4029.9709,0.01
1981,1,1,5523.8069,0.01
1982,1,1,10007.081,0.01
1983,1,1,7545.0787,0.01
1984,1,1,8493.5858,0.01
1985,1,1,7109.0828,0.01
1986,1,1,6396.1886,0.01
1987,1,1,8821.1742,0.01
1988,1,1,7483.8837,0.01
1989,1,1,8021.9247,0.01
1990,1,1,7354.5044,0.01
1991,1,1,7272.9483,0.01
1992,1,1,7770.6491,0.01
1993,1,1,7199.6962,0.01
1994,1,1,5652.2783,0.01
1995,1,1,5508.1547,0.01
1996,1,1,6070.6724,0.01
1997,1,1,5445.4333,0.01
1998,1,1,3146.8589,0.01
1999,1,1,4758.9699,0.01
2000,1,1,4230.2475,0.01
2001,1,1,4126.6692,0.01
2002,1,1,2337.3623,0.01
2003,1,1,3521.2696,0.01
2004,1,1,3873.2805,0.01
2005,1,1,3771.4772,0.01
2006,1,1,4084.2343,0.01
2007,1,1,4049.4536,0.01
2008,1,1,4847.6662,0.01
2009,1,1,5051.058,0.01
2010,1,1,4263.069,0.01
2011,1,1,2703.3947,0.01
2012,1,1,2406.1865,0.01
2013,1,1,2292.3559,0.01
2014,1,1,2037.8161,0.01
2015,1,1,2492.1075,0.01
2016,1,1,2565.5653,0.01
2017,1,1,2984.7515,0.01
2018,1,1,2777.9235,0.01
2019,1,1,2907.2626,0.01
2020,1,1,1853.5312,0.01
2021,1,1,2883.8351,0.01
2022,1,1,3783.1407,0.01
2023,1,1,2952.4735,0.01
2024,1,1,1103.0809,0.01
1901,1,2,0.5032,0.01
1902,1,2,1.0074,0.01
1903,1,2,1.5117,0.01
1904,1,2,2.016,0.01
1905,1,2,2.5202,0.01
1906,1,2,3.0245,0.01
1907,1,2,3.5288,0.01
1908,1,2,4.033,0.01
1909,1,2,4.5269,0.01
1910,1,2,5.0207,0.01
1911,1,2,5.5145,0.01
1912,1,2,6.0084,0.01
1913,1,2,6.5022,0.01
1914,1,2,6.9961,0.01
1915,1,2,7.3671,0.01
1916,1,2,9.6358,0.01
1917,1,2,104.841,0.01
1918,1,2,57.4922,0.01
1919,1,2,38.5961,0.01
1920,1,2,89.9978,0.01
1921,1,2,117.8384,0.01
1922,1,2,30.9453,0.01
1923,1,2,62.0271,0.01
1924,1,2,107.5447,0.01
1925,1,2,83.25,0.01
1926,1,2,20.2391,0.01
1927,1,2,332.2574,0.01
1928,1,2,287.2006,0.01
1929,1,2,264.3193,0.01
1930,1,2,280.0294,0.01
1931,1,2,141.5949,0.01
1932,1,2,138.4453,0.01
1933,1,2,93.3677,0.01
1934,1,2,200.9397,0.01
1935,1,2,239.481,0.01
1936,1,2,256.817,0.01
1937,1,2,152.1481,0.01
1938,1,2,147.3844,0.01
1939,1,2,113.0175,0.01
1940,1,2,85.9002,0.01
1941,1,2,150.6594,0.01
1942,1,2,532.4375,0.01
1943,1,2,571.2494,0.01
1944,1,2,439.7736,0.01
1945,1,2,663.2215,0.01
1946,1,2,638.9659,0.01
1947,1,2,163.5516,0.01
1948,1,2,410.1719,0.01
1949,1,2,331.4866,0.01
1950,1,2,258.5781,0.01
1951,1,2,362.5307,0.01
1952,1,2,132.8213,0.01
1953,1,2,115.001,0.01
1954,1,2,194.3828,0.01
1955,1,2,126.5472,0.01
1956,1,2,171.5082,0.01
1957,1,2,262.9983,0.01
1958,1,2,111.6945,0.01
1959,1,2,161.1869,0.01
1960,1,2,182.4176,0.01
1961,1,2,217.7432,0.01
1962,1,2,165.6639,0.01
1963,1,2,187.1675,0.01
1964,1,2,113.575,0.01
1965,1,2,208.9018,0.01
1966,1,2,247.3729,0.01
1967,1,2,2033.5212,0.01
1968,1,2,1100.9236,0.01
1969,1,2,3346.1682,0.01
1970,1,2,1594.8158,0.01
1971,1,2,1196.6712,0.01
1972,1,2,2736.7852,0.01
1973,1,2,896.0858,0.01
1974,1,2,1791.4417,0.01
1975,1,2,1420.8882,0.01
1976,1,2,996.8595,0.01
1977,1,2,1213.9804,0.01
1978,1,2,1210.5684,0.01
1979,1,2,2930.6932,0.01
1980,1,2,802.7207,0.01
1981,1,2,1910.9002,0.01
1982,1,2,1698.1186,0.01
1983,1,2,1162.6909,0.01
1984,1,2,1000.7089,0.01
1985,1,2,2759.6019,0.01
1986,1,2,3528.1157,0.01
1987,1,2,4959.9706,0.01
1988,1,2,3758.7633,0.01
1989,1,2,2772.3611,0.01
1990,1,2,2531.0663,0.01
1991,1,2,4091.4401,0.01
1992,1,2,4000.4051,0.01
1993,1,2,2997.8154,0.01
1994,1,2,3160.1897,0.01
1995,1,2,3521.6112,0.01
1996,1,2,3830.7751,0.01
1997,1,2,4226.627,0.01
1998,1,2,2005.436,0.01
1999,1,2,3295.1843,0.01
2000,1,2,3287.3228,0.01
2001,1,2,2799.0151,0.01
2002,1,2,1934.1992,0.01
2003,1,2,2661.6014,0.01
2004,1,2,2997.8529,0.01
2005,1,2,3443.5599,0.01
2006,1,2,3071.2411,0.01
2007,1,2,2488.0786,0.01
2008,1,2,2803.0623,0.01
2009,1,2,3597.146,0.01
2010,1,2,3363.4732,0.01
2011,1,2,3267.9819,0.01
2012,1,2,2937.6403,0.01
2013,1,2,1730.0911,0.01
2014,1,2,1829.5811,0.01
2015,1,2,2408.8462,0.01
2016,1,2,2673.6364,0.01
2017,1,2,2630.0333,0.01
2018,1,2,2664.1096,0.01
2019,1,2,2310.7195,0.01
2020,1,2,1584.0672,0.01
2021,1,2,2115.9671,0.01
2022,1,2,2710.7353,0.01
2023,1,2,2663.8145,0.01
2024,1,2,1048.9814,0.01
1927,1,3,0,0.01
1928,1,3,0,0.01
1929,1,3,0,0.01
1930,1,3,0,0.01
1931,1,3,316.9754,0.01
1932,1,3,276.8967,0.01
1933,1,3,247.6192,0.01
1934,1,3,425.9779,0.01
1935,1,3,571.8518,0.01
1936,1,3,257.6422,0.01
1937,1,3,180.4778,0.01
1938,1,3,211.1972,0.01
1939,1,3,160.0867,0.01
1940,1,3,138.9169,0.01
1941,1,3,149.8817,0.01
1942,1,3,669.5289,0.01
1943,1,3,1063.1898,0.01
1944,1,3,1358.4307,0.01
1945,1,3,1868.3703,0.01
1946,1,3,860.933,0.01
1947,1,3,280.1934,0.01
1948,1,3,487.7563,0.01
1949,1,3,398.5985,0.01
1950,1,3,420.8111,0.01
1951,1,3,673.5788,0.01
1952,1,3,315.3145,0.01
1953,1,3,263.9111,0.01
1954,1,3,334.7341,0.01
1955,1,3,288.1208,0.01
1956,1,3,362.5566,0.01
1957,1,3,285.2816,0.01
1958,1,3,260.7026,0.01
1959,1,3,290.3313,0.01
1960,1,3,339.9998,0.01
1961,1,3,238.9531,0.01
1962,1,3,297.0712,0.01
1963,1,3,253.4377,0.01
1964,1,3,359.4748,0.01
1965,1,3,426.4988,0.01
1966,1,3,484.9009,0.01
1967,1,3,580.9562,0.01
1968,1,3,490.2219,0.01
1969,1,3,0.4223,0.01
1970,1,3,0.1107,0.01
1971,1,3,60.828,0.01
1972,1,3,272.8002,0.01
1973,1,3,281.438,0.01
1974,1,3,2793.2504,0.01
1975,1,3,3104.2938,0.01
1976,1,3,2988.4646,0.01
1977,1,3,2132.468,0.01
1978,1,3,2794.0898,0.01
1979,1,3,6924.1618,0.01
1980,1,3,1854.6489,0.01
1981,1,3,2194.4778,0.01
1982,1,3,3732.8498,0.01
1983,1,3,3498.3174,0.01
1984,1,3,3472.4382,0.01
1985,1,3,3837.2776,0.01
1986,1,3,2686.2574,0.01
1987,1,3,3745.1417,0.01
1988,1,3,3330.6641,0.01
1989,1,3,2942.005,0.01
1990,1,3,2304.9989,0.01
1991,1,3,1673.6286,0.01
1992,1,3,1018.9265,0.01
1993,1,3,1459.3347,0.01
1994,1,3,2557.3653,0.01
1995,1,3,1728.6801,0.01
1996,1,3,1286.1107,0.01
1997,1,3,951.2755,0.01
1998,1,3,811.0162,0.01
1999,1,3,1396.4545,0.01
2000,1,3,1528.6406,0.01
2001,1,3,1175.1487,0.01
2002,1,3,803.2828,0.01
2003,1,3,1211.5647,0.01
2004,1,3,1284.1271,0.01
2005,1,3,1508.745,0.01
2006,1,3,1504.2171,0.01
2007,1,3,946.7921,0.01
2008,1,3,963.1784,0.01
2009,1,3,1090.0295,0.01
2010,1,3,1051.5479,0.01
2011,1,3,1553.8217,0.01
2012,1,3,1412.6457,0.01
2013,1,3,1260.4593,0.01
2014,1,3,1385.8804,0.01
2015,1,3,1953.6487,0.01
2016,1,3,2144.8359,0.01
2017,1,3,2125.8578,0.01
2018,1,3,2037.0531,0.01
2019,1,3,2365.406,0.01
2020,1,3,2079.142,0.01
2021,1,3,2017.8086,0.01
2022,1,3,2543.1154,0.01
2023,1,3,3001.3589,0.01
2024,1,3,637.2008,0.01
1901,1,4,0.2337,0.01
1902,1,4,0.4678,0.01
1903,1,4,0.702,0.01
1904,1,4,0.9362,0.01
1905,1,4,1.1703,0.01
1906,1,4,1.4045,0.01
1907,1,4,1.6387,0.01
1908,1,4,1.8728,0.01
1909,1,4,2.1022,0.01
1910,1,4,2.3315,0.01
1911,1,4,2.5608,0.01
1912,1,4,2.7901,0.01
1913,1,4,3.0195,0.01
1914,1,4,3.2488,0.01
1915,1,4,3.4211,0.01
1916,1,4,4.4746,0.01
1917,1,4,48.6854,0.01
1918,1,4,26.6979,0.01
1919,1,4,17.923,0.01
1920,1,4,41.7926,0.01
1921,1,4,54.7211,0.01
1922,1,4,14.3702,0.01
1923,1,4,28.8037,0.01
1924,1,4,49.941,0.01
1925,1,4,38.6591,0.01
1926,1,4,9.3985,0.01
1927,1,4,53.1164,0.01
1928,1,4,49.0658,0.01
1929,1,4,77.022,0.01
1930,1,4,72.7273,0.01
1931,1,4,4.9535,0.01
1932,1,4,20.7573,0.01
1933,1,4,124.2114,0.01
1934,1,4,0.3651,0.01
1935,1,4,134.7625,0.01
1936,1,4,44.2806,0.01
1937,1,4,34.9223,0.01
1938,1,4,32.9684,0.01
1939,1,4,31.0146,0.01
1940,1,4,8.6285,0.01
1941,1,4,12.9495,0.01
1942,1,4,5.0838,0.01
1943,1,4,9.5397,0.01
1944,1,4,1.7842,0.01
1945,1,4,2.0227,0.01
1946,1,4,3.8595,0.01
1947,1,4,9.6103,0.01
1948,1,4,0.4082,0.01
1949,1,4,2.0579,0.01
1950,1,4,1.4547,0.01
1951,1,4,39.7856,0.01
1952,1,4,1.2927,0.01
1953,1,4,0.5702,0.01
1954,1,4,7.6149,0.01
1955,1,4,23.7337,0.01
1956,1,4,18.5587,0.01
1957,1,4,7.5265,0.01
1958,1,4,0.4694,0.01
1959,1,4,3.4055,0.01
1960,1,4,6.124,0.01
1961,1,4,3.4241,0.01
1962,1,4,5.6589,0.01
1963,1,4,14.8449,0.01
1964,1,4,22.4262,0.01
1965,1,4,12.3475,0.01
1966,1,4,0.4303,0.01
1967,1,4,0.49,0.01
1968,1,4,0.2113,0.01
1969,1,4,0.8704,0.01
1970,1,4,0.6523,0.01
1971,1,4,0.5262,0.01
1972,1,4,5.7261,0.01
1973,1,4,7.8295,0.01
1974,1,4,27.4287,0.01
1975,1,4,88.5434,0.01
1976,1,4,107.387,0.01
1977,1,4,53.259,0.01
1978,1,4,22.3326,0.01
1979,1,4,104.3922,0.01
1980,1,4,46.1914,0.01
1981,1,4,46.2134,0.01
1982,1,4,39.6236,0.01
1983,1,4,85.8659,0.01
1984,1,4,141.0936,0.01
1985,1,4,417.481,0.01
1986,1,4,305.5516,0.01
1987,1,4,366.2523,0.01
1988,1,4,318.0481,0.01
1989,1,4,422.7835,0.01
1990,1,4,386.6172,0.01
1991,1,4,201.5647,0.01
1992,1,4,309.2647,0.01
1993,1,4,285.237,0.01
1994,1,4,180.5506,0.01
1995,1,4,218.5907,0.01
1996,1,4,216.8534,0.01
1997,1,4,176.6694,0.01
1998,1,4,119.2118,0.01
1999,1,4,84.5184,0.01
2000,1,4,37.2538,0.01
2001,1,4,29.3731,0.01
2002,1,4,50.3846,0.01
2003,1,4,78.7977,0.01
2004,1,4,79.1374,0.01
2005,1,4,56.3612,0.01
2006,1,4,12.4543,0.01
2007,1,4,7.6875,0.01
2008,1,4,17.5567,0.01
2009,1,4,19.7158,0.01
2010,1,4,0.4975,0.01
2011,1,4,17.902,0.01
2012,1,4,23.736,0.01
2013,1,4,6.7458,0.01
2014,1,4,5.2717,0.01
2015,1,4,5.3424,0.01
2016,1,4,4.5881,0.01
2017,1,4,1.1839,0.01
2018,1,4,0.5127,0.01
2022,1,4,0.0612,0.01
1901,1,5,0.1031,0.01
1902,1,5,0.2063,0.01
1903,1,5,0.3096,0.01
1904,1,5,0.4129,0.01
1905,1,5,0.5162,0.01
1906,1,5,0.6195,0.01
1907,1,5,0.7228,0.01
1908,1,5,0.826,0.01
1909,1,5,0.9272,0.01
1910,1,5,1.0283,0.01
1911,1,5,1.1295,0.01
1912,1,5,1.2306,0.01
1913,1,5,1.3318,0.01
1914,1,5,1.4329,0.01
1915,1,5,1.5089,0.01
1916,1,5,1.9736,0.01
1917,1,5,21.4735,0.01
1918,1,5,11.7755,0.01
1919,1,5,7.9052,0.01
1920,1,5,18.4333,0.01
1921,1,5,24.1356,0.01
1922,1,5,6.3382,0.01
1923,1,5,12.7043,0.01
1924,1,5,22.0272,0.01
1925,1,5,17.0512,0.01
1926,1,5,4.1454,0.01
1927,1,5,23.4278,0.01
1928,1,5,21.6412,0.01
1929,1,5,33.9718,0.01
1930,1,5,32.0775,0.01
1931,1,5,0.8845,0.01
1932,1,5,3.7067,0.01
1933,1,5,22.1806,0.01
1934,1,5,70.143,0.01
1935,1,5,24.0647,0.01
1936,1,5,7.9072,0.01
1937,1,5,6.2361,0.01
1938,1,5,5.8872,0.01
1939,1,5,5.5383,0.01
1940,1,5,1.5408,0.01
1941,1,5,2.3124,0.01
1942,1,5,0.9078,0.01
1943,1,5,1.7035,0.01
1944,1,5,0.3186,0.01
1945,1,5,0.3612,0.01
1946,1,5,0.6892,0.01
1947,1,5,1.7161,0.01
1948,1,5,4.9933,0.01
1949,1,5,11.2693,0.01
1950,1,5,19.0546,0.01
1951,1,5,7.1046,0.01
1952,1,5,40.4401,0.01
1953,1,5,0.5334,0.01
1954,1,5,0.2154,0.01
1955,1,5,0.9376,0.01
1956,1,5,0.5401,0.01
1957,1,5,0.7245,0.01
1958,1,5,0.0838,0.01
1959,1,5,0.6081,0.01
1960,1,5,1.0936,0.01
1961,1,5,0.6114,0.01
1962,1,5,1.0105,0.01
1963,1,5,2.6509,0.01
1964,1,5,4.0047,0.01
1965,1,5,2.2049,0.01
1966,1,5,0.0768,0.01
1967,1,5,0.0875,0.01
1968,1,5,0.0377,0.01
1969,1,5,0.4776,0.01
1970,1,5,0.1284,0.01
1971,1,5,0.5402,0.01
1972,1,5,0.2087,0.01
1973,1,5,1.1957,0.01
1974,1,5,1.8493,0.01
1975,1,5,3.4001,0.01
1976,1,5,4.569,0.01
1977,1,5,2.3115,0.01
1978,1,5,31.5324,0.01
1979,1,5,19.1331,0.01
1980,1,5,25.7252,0.01
1981,1,5,4.6294,0.01
1982,1,5,1.0995,0.01
1983,1,5,0.6654,0.01
1984,1,5,1.2056,0.01
1985,1,5,2.2512,0.01
1986,1,5,4.4234,0.01
1987,1,5,15.2761,0.01
1988,1,5,17.1122,0.01
1989,1,5,83.001,0.01
1990,1,5,99.8592,0.01
1991,1,5,120.431,0.01
1992,1,5,94.0061,0.01
1993,1,5,86.12,0.01
1994,1,5,115.4113,0.01
1995,1,5,114.6048,0.01
1996,1,5,123.8591,0.01
1997,1,5,111.8735,0.01
1998,1,5,99.309,0.01
1999,1,5,96.1679,0.01
2000,1,5,83.7051,0.01
2001,1,5,110.6949,0.01
2002,1,5,128.0224,0.01
2003,1,5,128.5521,0.01
2004,1,5,87.2466,0.01
2005,1,5,77.986,0.01
2006,1,5,79.8842,0.01
2007,1,5,70.9172,0.01
2008,1,5,117.4698,0.01
2009,1,5,551.4341,0.01
2010,1,5,825.3857,0.01
2011,1,5,776.0494,0.01
2012,1,5,427.7148,0.01
2013,1,5,525.5773,0.01
2014,1,5,496.5158,0.01
2015,1,5,437.9836,0.01
2016,1,5,429.0136,0.01
2017,1,5,339.3747,0.01
2018,1,5,397.8121,0.01
2019,1,5,354.4196,0.01
2020,1,5,258.9201,0.01
2021,1,5,194.5618,0.01
2022,1,5,194.085,0.01
2023,1,5,183.3464,0.01
2024,1,5,113.3989,0.01
1901,1,6,0,0.01
1902,1,6,0,0.01
1903,1,6,0,0.01
1904,1,6,0,0.01
1905,1,6,0,0.01
1906,1,6,0,0.01
1907,1,6,0,0.01
1908,1,6,0,0.01
1909,1,6,0,0.01
1910,1,6,0,0.01
1911,1,6,0,0.01
1912,1,6,0,0.01
1913,1,6,0,0.01
1914,1,6,0,0.01
1915,1,6,0,0.01
1916,1,6,0,0.01
1917,1,6,0,0.01
1918,1,6,0,0.01
1919,1,6,0,0.01
1920,1,6,0,0.01
1921,1,6,0,0.01
1922,1,6,0,0.01
1923,1,6,0,0.01
1924,1,6,0,0.01
1925,1,6,0,0.01
1926,1,6,0,0.01
1927,1,6,0,0.01
1928,1,6,0,0.01
1929,1,6,0,0.01
1930,1,6,0,0.01
1931,1,6,3.0075,0.01
1932,1,6,12.6027,0.01
1933,1,6,75.4141,0.01
1934,1,6,222.1195,0.01
1935,1,6,81.8201,0.01
1936,1,6,26.8846,0.01
1937,1,6,21.2028,0.01
1938,1,6,20.0165,0.01
1939,1,6,18.8303,0.01
1940,1,6,5.2387,0.01
1941,1,6,7.8622,0.01
1942,1,6,3.0866,0.01
1943,1,6,5.7919,0.01
1944,1,6,1.0833,0.01
1945,1,6,1.2281,0.01
1946,1,6,2.3432,0.01
1947,1,6,5.8348,0.01
1948,1,6,15.8121,0.01
1949,1,6,35.6861,0.01
1950,1,6,60.3395,0.01
1951,1,6,24.1555,0.01
1952,1,6,128.0603,0.01
1953,1,6,1.6892,0.01
1954,1,6,0.6822,0.01
1955,1,6,2.9692,0.01
1956,1,6,1.7102,0.01
1957,1,6,2.2942,0.01
1958,1,6,0.285,0.01
1959,1,6,2.0676,0.01
1960,1,6,3.7181,0.01
1961,1,6,2.0789,0.01
1962,1,6,3.4357,0.01
1963,1,6,9.013,0.01
1964,1,6,13.6159,0.01
1965,1,6,7.4967,0.01
1966,1,6,0.2613,0.01
1967,1,6,0.2975,0.01
1968,1,6,0.1283,0.01
1972,1,6,0.0426,0.01
1973,1,6,11.5108,0.01
1974,1,6,0.6577,0.01
1975,1,6,0.5298,0.01
1976,1,6,0.3565,0.01
1977,1,6,1065.625,0.01
1978,1,6,2564.6245,0.01
1979,1,6,4908.0324,0.01
1980,1,6,749.3031,0.01
1981,1,6,1585.5008,0.01
1982,1,6,2357.5708,0.01
1983,1,6,2456.5506,0.01
1984,1,6,928.2156,0.01
1985,1,6,33.1558,0.01
1986,1,6,259.5655,0.01
1987,1,6,21.8618,0.01
1988,1,6,3.308,0.01
1989,1,6,0.5584,0.01
1990,1,6,139.5066,0.01
1991,1,6,99.7554,0.01
1992,1,6,186.8596,0.01
1993,1,6,54.7672,0.01
1994,1,6,12.9197,0.01
1995,1,6,1.5581,0.01
1996,1,6,0.2286,0.01
1997,1,6,0.3035,0.01
1998,1,6,0.196,0.01
1999,1,6,1.8156,0.01
2000,1,6,1.4756,0.01
2001,1,6,1.7017,0.01
2002,1,6,11.4053,0.01
2003,1,6,11.4963,0.01
2004,1,6,15.6972,0.01
2005,1,6,11.6483,0.01
2006,1,6,98.8826,0.01
2007,1,6,114.3468,0.01
2008,1,6,83.8373,0.01
2009,1,6,194.2316,0.01
2010,1,6,198.5465,0.01
2011,1,6,411.2159,0.01
2012,1,6,249.0038,0.01
2013,1,6,80.7146,0.01
2014,1,6,182.168,0.01
2015,1,6,155.9803,0.01
2016,1,6,158.7066,0.01
2017,1,6,103.2645,0.01
2018,1,6,48.1291,0.01
2019,1,6,88.6312,0.01
2020,1,6,65.3847,0.01
2021,1,6,80.2083,0.01
2022,1,6,97.5042,0.01
2023,1,6,98.6698,0.01
2024,1,6,64.2874,0.01
