"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","f58","f60","f62","f64","f66","f68","f70","f72","f74","f76","f78","f80","f82","f84","f86","f88","f90","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56","m58","m60","m62","m64","m66","m68","m70","m72","m74","m76","m78","m80","m82","m84","m86","m88","m90"
1995,7,4,3,0,1,-1,-1,180,53.6473841772361,0,0,0,0.143581070664784,0,0,0.196374899936069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1657649272631,2.32618950596787,2.45216560995459,0,0,0,0.0685398089774524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,4,3,0,1,-1,-1,188,56.2955480185352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0353163499288,0.669135631535997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,4,3,0,1,-1,-1,290,64.3075191864435,0.0879993443988348,0.0250053809558273,0,0,0,0,0,0,0.0425000216151689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4017228347354,0,0.0506177765846354,0.0552233620039106,0,0,0.0294120932627719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,4,3,0,1,-1,-1,481,60.39768334523,0,0,0.0182973398636265,0,0.0511492090763028,0,0,0.00914866993181324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2900173973659,0,0,0,0,0,0,0,0.0967193506500049,0.13698468788234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
