"year","month","fleet","sex","partition","input_n","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","f58","f60","f62","f64","f66","f68","f70","f72","f74","f76","f78","f80","f82","f84","f86","f88","f90","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56","m58","m60","m62","m64","m66","m68","m70","m72","m74","m76","m78","m80","m82","m84","m86","m88","m90"
1978,7,1,3,1,19,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,2,2,0,1,3,1,2,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,2,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1979,7,1,3,1,278,0,0,0,0,1,0,0,0,2,0,7,49,89,122,90,47,41,16,15,18,25,22,12,17,15,9,8,13,5,5,3,1,2,2,1,0,0,0,0,0,0,1,0,0,1,1,2,9,43,102,108,103,50,46,43,46,72,56,51,22,11,7,4,1,1,0,1,0,0,0,0,0,0,0
1980,7,1,3,1,159,0,0,0,0,0,0,4,8,41,229,496,489,233,74,47,98,89,36,17,6,8,1,2,2,2,5,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,4,16,67,390,704,550,202,82,145,143,55,21,8,4,6,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1981,7,1,3,1,123,0,0,0,0,0,0,0,1,7,7,10,16,56,93,70,32,28,13,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,45,105,108,46,28,17,7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,1,3,1,57,0,0,0,0,0,0,0,0,0,7,57,116,80,48,74,65,55,29,9,8,4,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,60,67,45,67,53,26,9,5,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1979,7,1,0,1,109,0,0,0,0,0,0,0,2,9,40,189,339,341,218,106,29,12,8,3,0,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,1,3,1,71,0,0,0,0,0,0,0,1,0,1,3,4,30,64,115,122,106,83,55,35,29,22,15,10,6,13,2,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,38,71,98,118,103,80,64,51,41,24,18,12,6,2,1,0,0,0,1,0,0,0,0,0,0
2020,7,1,3,1,49,0,0,0,2,0,0,1,4,6,3,2,3,6,19,29,35,33,27,35,21,12,13,14,14,8,9,5,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,7,24,22,30,50,33,27,25,15,20,11,7,4,6,4,0,0,0,0,0,0,0,0,0,0
2021,7,1,3,1,64,0,1,5,5,0,0,2,2,8,19,16,19,13,14,31,39,54,61,74,63,59,50,24,19,17,10,19,3,2,4,1,4,3,0,0,0,1,0,0,1,2,2,0,0,0,6,10,8,14,12,12,21,69,105,112,75,50,47,35,22,11,12,4,2,2,2,0,0,0,0,0,0,0,0
2022,7,1,3,1,78,0,0,0,0,0,0,2,9,17,19,56,232,437,337,203,108,143,160,183,182,184,164,151,94,77,49,26,19,18,6,7,4,3,1,2,0,0,0,0,0,0,0,0,2,5,7,21,63,215,317,250,142,181,225,280,318,247,199,134,94,56,41,28,8,7,1,0,0,0,1,0,0,0,0
2023,7,1,3,1,69,0,2,2,3,3,0,0,3,8,23,56,77,118,212,235,218,180,111,79,90,73,98,71,49,41,31,28,11,8,10,2,1,1,1,1,0,0,0,0,2,6,3,0,1,0,6,24,43,100,151,195,186,107,92,122,134,127,89,76,42,21,17,8,1,4,1,0,0,0,0,0,0,0,0
2024,7,1,3,1,23,0,0,0,0,0,0,0,0,0,1,3,10,22,38,47,72,67,47,31,20,14,16,18,9,9,3,12,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,31,62,68,61,38,34,20,19,26,19,7,9,1,2,0,0,1,0,0,0,0,0,0,0,0
2020,7,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
