year,sex,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50
1986,0,0,0,721.8967,3133.6792,2762.5748,4020.8161,3625.8637,5234.8973,967.989,1504.3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,3,0,0,4199.2941,12794.6194,19469.0043,36455.4695,28484.6948,31802.6249,13188.4755,12583.8566,7851.411,10550.7159,2903.9669,1917.6465,1935.978,2903.9669,1935.9779,1935.9779,0,0,967.989,967.989,967.989,0,0,0,0,0,0,598.2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755.731,3902.8223,17672.0555,5659.6979,15747.7949,12911.8708,10025.9682,11191.8718,3871.9559,5975.4945,2903.9669,1917.6465,967.989,3853.6244,0,0,3040.4126,967.989,967.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,3,0,662.7936,13447.8705,19902.9167,13598.8991,18155.4183,24652.9381,26318.7473,23144.7491,30076.7444,27141.9834,18041.9446,14666.525,10991.8741,8020.6479,6931.3022,4311.8562,15643.312,5514.3596,4626.0951,6692.7178,3815.0566,4023.0272,896.8295,724.8114,1553.2066,1432.0392,1935.978,4163.4216,1371.5224,1940.8898,533.4156,815.6492,1998.4631,967.989,2190.019,0,967.989,0,165.7899,840.1523,0,464.0502,0,0,967.989,0,0,165.7899,0,1808.1413,0,0,16830.1764,13530.7741,10842.9704,20678.5336,25280.2244,29967.5878,27857.9723,24246.8783,33108.5232,25566.5222,27264.7197,16501.1407,13801.2954,14663.7184,8423.5494,11142.8682,10753.6811,7423.1864,7932.0337,5641.6826,7536.6157,6088.882,2320.0257,2815.0047,1996.9773,4433.1641,2360.2841,514.695,1479.2918,967.989,1674.169,967.989,3033.7577,3029.1542,0,0,967.989,0,694.4126,533.4156,0,0,967.989,0,0,0,0,0,891.0224
1988,3,0,0,1935.9779,14979.9318,9952.7694,16984.2317,8185.7445,10963.7512,11083.3191,7225.3332,7888.6419,10291.9356,7417.0808,4839.9448,4101.9284,3546.8344,967.989,2903.9669,2051.902,1935.9779,2134.6556,967.989,652.1393,4125.5503,3523.0113,2468.3892,0,0,0,2485.5293,967.989,0,967.989,0,1006.8601,713.2542,0,0,0,0,967.989,0,0,0,0,0,0,0,0,0,0,0,0,0,4326.2932,4216.4597,8612.394,7161.4847,2156.4174,6637.8865,3432.3861,1575.3962,3725.1064,3248.4707,1935.978,3661.3569,1935.978,967.989,344.5038,967.989,967.989,3871.9559,3871.9558,2903.9669,1935.9779,967.989,3213.0037,967.989,967.989,713.2542,967.989,1758.6155,967.989,0,0,660.0093,299.6299,0,2903.9669,0,0,967.989,0,967.989,0,0,0,0,0,0,0,0
1989,3,0,0,0,2903.9669,3871.9559,967.989,3627.3571,3484.4922,9319.8639,9171.9164,7394.3484,6790.8788,8694.5748,6922.2038,2903.9669,3651.2462,3620.3107,2635.6301,2180.7742,4907.8088,3495.2384,913.03,1915.2638,4236.6805,4368.1877,1935.9779,2432.4194,1935.9779,5061.4845,5767.6202,1277.7214,3368.6838,1476.9587,4046.1393,3091.5121,2050.8361,2929.2602,496.2318,2681.7542,951.2974,1935.9779,1592.999,967.989,0,0,0,0,0,745.7763,0,1935.9779,0,0,0,0,1935.9779,0,1935.9779,967.989,477.0856,1935.9779,486.4026,1935.9779,967.989,4195.8382,3556.6784,6115.1245,1935.978,6280.6874,1291.8712,1935.9779,2903.9669,967.989,3344.8363,1591.3886,4294.0825,4839.9449,4276.6091,5456.4401,2595.5938,931.7728,3520.4622,3227.8492,1445.0746,2903.9669,2583.7425,1935.9779,0,2884.8702,2903.9669,508.9697,652.7114,967.989,323.8823,0,0,0,0,0,0,0,477.0856
1990,3,0,0,185.409,4742.2555,6250.2658,3980.8039,9257.2285,3900.0234,3369.2205,830.0189,3206.0485,1128.0539,2348.0311,636.2366,2088.2378,967.989,1875.3075,6066.3052,2488.3561,1844.1579,1317.3833,967.989,2903.9669,286.8423,0,258.3714,1494.6339,2415.5832,967.989,3871.9559,0,286.8423,294.0068,3181.2662,0,0,967.989,0,277.2992,967.989,0,0,0,0,0,0,0,967.989,0,0,0,0,185.409,0,3788.1768,1153.398,0,4332.219,1641.0811,0,1935.978,673.0921,0,967.989,0,0,967.989,0,1935.9779,967.989,1935.9779,967.989,1935.9779,967.989,967.989,967.989,0,1226.3603,967.989,1935.9779,1261.9958,0,1935.9779,0,967.989,0,0,0,0,0,0,0,0,0,1935.9779,0,0,0,0,0,967.989,0
1991,3,0,0,138.4801,445.323,11049.5616,17027.6523,14551.388,7628.5338,6748.4451,6494.4495,5126.5802,5971.9916,5966.3611,2094.9707,4150.6819,845.8032,3101.4362,1095.2219,4722.8619,3295.3619,1486.8398,3804.0235,608.1862,1542.4589,2486.2618,194.9785,3097.1297,2483.1303,3337.9317,1937.8657,2129.1407,744.0687,1147.7571,1578.7229,2555.5654,0,4079.0014,967.989,967.989,0,967.989,0,0,0,967.989,381.6092,0,0,189.5539,0,179.7682,0,0,51.7788,894.6137,1984.8359,3377.9172,11226.994,4842.8027,7233.542,5824.3904,4889.9089,9100.6073,6071.6948,4872.2597,7962.7294,5058.9388,5485.6361,3957.142,5033.1076,4065.1186,4203.4906,3871.9558,7743.9118,5807.9339,3871.9559,5273.9097,5807.9338,4061.5098,967.989,5807.9339,2125.5319,967.989,4839.9449,1935.9779,2903.9669,967.989,3871.9559,153.2424,1935.9779,193.1627,1935.9779,967.989,2903.9669,1935.9779,0,0,0,0,0,0,0
1993,3,0,0,0,648.6476,8180.0945,4671.4153,12485.377,6069.6302,7415.1197,2282.4205,1917.7206,0,1004.5267,246.6616,0,190.7255,0,0,0,0,1761.4052,880.7026,0,880.7026,0,880.7026,0,0,0,880.7026,0,880.7026,1761.4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.7255,880.7026,2923.4652,4560.5341,4556.7215,3523.516,1948.7316,3522.8103,2642.1077,1033.2055,1761.4052,1761.4052,0,880.7026,2642.1077,1761.4052,0,880.7026,0,880.7026,0,1761.4052,880.7026,0,0,0,880.7026,0,0,0,0,1761.4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,3,0,0,0,1935.9779,16178.7556,19424.6408,14709.4904,5807.9339,8506.7138,7328.8965,3798.8589,3348.5271,3798.8589,0,0,894.892,1104.2451,775.3927,3041.5494,797.2674,0,1862.881,0,1104.2451,0,0,967.989,967.989,1520.1115,552.1226,0,0,552.1226,0,0,0,0,0,0,0,0,0,0,0,552.1226,0,0,0,0,0,0,0,0,0,4839.9449,8519.3045,5807.9338,4202.5105,3871.9559,2903.9669,2903.9669,967.989,1935.9779,967.989,552.1226,967.989,1713.5589,1520.1115,967.989,0,967.989,797.2674,967.989,1520.1116,0,0,0,0,552.1226,967.989,0,745.5699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,3,0,507.3226,0,11483.3665,22065.5425,33182.7179,30174.0069,13471.8961,11667.8503,6075.7364,3994.4904,4138.8785,2689.1422,1589.2671,3238.6808,4486.1807,2043.7903,565.4302,655.373,0,427.4311,427.4311,0,0,0,0,427.4311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.989,2593.2025,9665.3576,13288.7996,18391.6948,12035.7836,8957.9031,3086.9974,4224.8642,3209.8899,0,427.4311,0,427.4311,703.0924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
