"year","seas","fleet","catch_mt","catch_se"
1890,1,1,0,0.01
1891,1,1,0,0.01
1892,1,1,0,0.01
1893,1,1,0,0.01
1894,1,1,0,0.01
1895,1,1,0,0.01
1896,1,1,0,0.01
1897,1,1,0,0.01
1898,1,1,0,0.01
1899,1,1,0,0.01
1900,1,1,0,0.01
1901,1,1,1.3745,0.01
1902,1,1,2.7519,0.01
1903,1,1,4.1294,0.01
1904,1,1,5.5069,0.01
1905,1,1,6.8843,0.01
1906,1,1,8.2618,0.01
1907,1,1,9.6392,0.01
1908,1,1,11.0167,0.01
1909,1,1,12.3656,0.01
1910,1,1,13.7146,0.01
1911,1,1,15.0636,0.01
1912,1,1,16.4126,0.01
1913,1,1,17.7616,0.01
1914,1,1,19.1105,0.01
1915,1,1,20.124,0.01
1916,1,1,26.3213,0.01
1917,1,1,286.3847,0.01
1918,1,1,157.0463,0.01
1919,1,1,105.4295,0.01
1920,1,1,245.839,0.01
1921,1,1,321.8886,0.01
1922,1,1,84.5305,0.01
1923,1,1,169.4337,0.01
1924,1,1,293.7703,0.01
1925,1,1,227.4066,0.01
1926,1,1,55.2854,0.01
1927,1,1,312.4495,0.01
1928,1,1,288.6224,0.01
1929,1,1,468.3894,0.01
1930,1,1,445.8318,0.01
1931,1,1,323.9109,0.01
1932,1,1,297.467,0.01
1933,1,1,420.3105,0.01
1934,1,1,668.0586,0.01
1935,1,1,883.5487,0.01
1936,1,1,330.4997,0.01
1937,1,1,226.8838,0.01
1938,1,1,253.2153,0.01
1939,1,1,290.5575,0.01
1940,1,1,297.8172,0.01
1941,1,1,484.3375,0.01
1942,1,1,922.8996,0.01
1943,1,1,2064.3296,0.01
1944,1,1,2972.9082,0.01
1945,1,1,2686.5272,0.01
1946,1,1,1655.5591,0.01
1947,1,1,510.6126,0.01
1948,1,1,947.5292,0.01
1949,1,1,1011.0425,0.01
1950,1,1,1020.5401,0.01
1951,1,1,2008.2553,0.01
1952,1,1,1157.8735,0.01
1953,1,1,790.8737,0.01
1954,1,1,1065.1094,0.01
1955,1,1,969.1486,0.01
1956,1,1,2532.6602,0.01
1957,1,1,1036.2214,0.01
1958,1,1,816.0509,0.01
1959,1,1,1001.9359,0.01
1960,1,1,1317.0345,0.01
1961,1,1,781.5593,0.01
1962,1,1,1625.326,0.01
1963,1,1,898.6648,0.01
1964,1,1,1036.1341,0.01
1965,1,1,1021.0227,0.01
1966,1,1,1134.2199,0.01
1967,1,1,1804.4053,0.01
1968,1,1,1306.0789,0.01
1969,1,1,2068.0597,0.01
1970,1,1,2840.5365,0.01
1971,1,1,2480.3481,0.01
1972,1,1,3538.9492,0.01
1973,1,1,4276.023,0.01
1974,1,1,3479.2513,0.01
1975,1,1,3970.7936,0.01
1976,1,1,3893.9792,0.01
1977,1,1,3700.0692,0.01
1978,1,1,4711.5157,0.01
1979,1,1,7511.9353,0.01
1980,1,1,5195.6288,0.01
1981,1,1,5717.2777,0.01
1982,1,1,10443.5128,0.01
1983,1,1,7630.9446,0.01
1984,1,1,8634.6794,0.01
1985,1,1,7526.5638,0.01
1986,1,1,6701.7402,0.01
1987,1,1,6639.6365,0.01
1988,1,1,5628.5674,0.01
1989,1,1,5816.6092,0.01
1990,1,1,5213.7311,0.01
1991,1,1,5013.7919,0.01
1992,1,1,5525.8766,0.01
1993,1,1,4969.0805,0.01
1994,1,1,3833.2104,0.01
1995,1,1,3869.9386,0.01
1996,1,1,4210.9484,0.01
1997,1,1,3773.431,0.01
1998,1,1,2211.7933,0.01
1999,1,1,3169.3373,0.01
2000,1,1,2763.7939,0.01
2001,1,1,2624.2305,0.01
2002,1,1,1597.1574,0.01
2003,1,1,2330.6245,0.01
2004,1,1,2444.9327,0.01
2005,1,1,2414.4526,0.01
2006,1,1,2544.2199,0.01
2007,1,1,2497.6089,0.01
2008,1,1,2897.6916,0.01
2009,1,1,3062.2573,0.01
2010,1,1,2544.2176,0.01
2011,1,1,1734.7114,0.01
2012,1,1,1531.4984,0.01
2013,1,1,1421.8553,0.01
2014,1,1,1322.5598,0.01
2015,1,1,1510.7477,0.01
2016,1,1,1510.5269,0.01
2017,1,1,1777.0036,0.01
2018,1,1,1595.8116,0.01
2019,1,1,1696.6989,0.01
2020,1,1,1119.6282,0.01
2021,1,1,1690.9331,0.01
2022,1,1,2269.9153,0.01
2023,1,1,1794.9265,0.01
2024,1,1,1661.0194,0.01
1890,1,2,2.115,0.01
1891,1,2,6.075,0.01
1892,1,2,7.1667,0.01
1893,1,2,10.8833,0.01
1894,1,2,14.6,0.01
1895,1,2,18.3167,0.01
1896,1,2,20.7583,0.01
1897,1,2,23.2,0.01
1898,1,2,25.6417,0.01
1899,1,2,28.0833,0.01
1900,1,2,77.8584,0.01
1901,1,2,92.7396,0.01
1902,1,2,110.5805,0.01
1903,1,2,132.1193,0.01
1904,1,2,158.2805,0.01
1905,1,2,140.596,0.01
1906,1,2,122.9115,0.01
1907,1,2,105.2269,0.01
1908,1,2,87.5424,0.01
1909,1,2,142.5541,0.01
1910,1,2,197.5657,0.01
1911,1,2,252.5774,0.01
1912,1,2,307.589,0.01
1913,1,2,362.6007,0.01
1914,1,2,417.6123,0.01
1915,1,2,472.476,0.01
1916,1,2,1287.8789,0.01
1917,1,2,1694.9202,0.01
1918,1,2,2683.771,0.01
1919,1,2,919.0832,0.01
1920,1,2,627.007,0.01
1921,1,2,846.4131,0.01
1922,1,2,711.2294,0.01
1923,1,2,1259.0215,0.01
1924,1,2,1534.9597,0.01
1925,1,2,1869.3654,0.01
1926,1,2,1639.2292,0.01
