"Gear","Year","N Lengthed","N Aged"
"HKL",1980,200,0
"HKL",1981,579,0
"HKL",1982,196,0
"HKL",1985,200,0
"HKL",1986,834,234
"HKL",1987,1488,870
"HKL",1988,647,208
"HKL",1989,179,55
"HKL",1990,421,101
"HKL",1991,509,262
"HKL",1992,0,0
"HKL",1993,2665,48
"HKL",1994,3023,84
"HKL",1995,1849,198
"HKL",1996,1255,539
"HKL",1997,1576,968
"HKL",1998,889,291
"HKL",1999,1705,757
"HKL",2000,1751,516
"HKL",2001,1390,596
"HKL",2002,1451,423
"HKL",2003,1980,270
"HKL",2004,1019,148
"HKL",2005,2304,710
"HKL",2006,4152,769
"HKL",2007,2798,1475
"HKL",2008,5990,398
"HKL",2009,4958,941
"HKL",2010,5293,901
"HKL",2011,6727,665
"HKL",2012,6211,914
"HKL",2013,5109,907
"HKL",2014,6773,45
"HKL",2015,8324,422
"HKL",2016,7525,321
"HKL",2017,6544,630
"HKL",2018,5706,1170
"HKL",2019,4881,20
"HKL",2020,1716,708
"HKL",2021,2887,189
"HKL",2022,2971,306
"HKL",2023,2720,0
"HKL",2024,3051,0
"POT",1970,365,0
"POT",1979,385,0
"POT",1980,867,0
"POT",1981,100,0
"POT",1983,1448,0
"POT",1985,413,0
"POT",1986,724,139
"POT",1987,759,221
"POT",1988,476,86
"POT",1989,1623,229
"POT",1990,773,79
"POT",1991,504,309
"POT",1993,773,122
"POT",1994,343,84
"POT",1995,814,120
"POT",1996,388,323
"POT",1997,690,601
"POT",1998,835,0
"POT",1999,552,303
"POT",2000,573,264
"POT",2001,280,194
"POT",2002,240,165
"POT",2003,358,176
"POT",2004,475,94
"POT",2005,339,162
"POT",2006,598,84
"POT",2007,908,390
"POT",2008,1987,51
"POT",2009,1542,410
"POT",2010,1744,300
"POT",2011,1832,272
"POT",2012,3113,58
"POT",2013,2256,245
"POT",2014,2546,0
"POT",2015,2875,232
"POT",2016,3696,217
"POT",2017,2190,314
"POT",2018,2140,197
"POT",2019,2074,0
"POT",2020,1097,165
"POT",2021,818,0
"POT",2022,1412,180
"POT",2023,1690,0
"POT",2024,1213,0
"TWL",1967,188,0
"TWL",1974,133,0
"TWL",1975,241,0
"TWL",1977,348,0
"TWL",1978,1569,0
"TWL",1979,505,0
"TWL",1980,3524,0
"TWL",1981,2740,0
"TWL",1982,425,0
"TWL",1983,1036,35
"TWL",1984,100,0
"TWL",1985,2622,0
"TWL",1986,5239,1434
"TWL",1987,4917,2530
"TWL",1988,3728,1467
"TWL",1989,4548,1241
"TWL",1990,4788,1139
"TWL",1991,4859,1788
"TWL",1992,778,694
"TWL",1993,4560,818
"TWL",1994,3500,658
"TWL",1995,2921,444
"TWL",1996,2279,1017
"TWL",1997,2872,1906
"TWL",1998,2654,587
"TWL",1999,3289,774
"TWL",2000,3249,1591
"TWL",2001,3736,1528
"TWL",2002,3830,1047
"TWL",2003,3871,734
"TWL",2004,4005,825
"TWL",2005,3447,1176
"TWL",2006,3531,1509
"TWL",2007,3729,1604
"TWL",2008,3546,161
"TWL",2009,3074,951
"TWL",2010,3251,955
"TWL",2011,3032,777
"TWL",2012,3922,72
"TWL",2013,3896,870
"TWL",2014,3610,909
"TWL",2015,4060,727
"TWL",2016,3885,372
"TWL",2017,3772,646
"TWL",2018,2932,1018
"TWL",2019,2863,562
"TWL",2020,1717,338
"TWL",2021,2239,183
"TWL",2022,2568,626
"TWL",2023,2042,0
"TWL",2024,2535,0
