"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50"
1983,7,7,3,0,1,-1,-1,47,0.020590862883647,12.1345551086536,12.3632320845673,6.55572801724878,6.24170175005371,0.587027718608571,0.381479944769473,0.126288701846134,0,0.013393296171372,0.040179888514116,0.108616352174626,0.015547456666107,0,0,0.030156097237479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1727805502621,23.1020798701958,7.4829546074282,4.93722462966105,0.276975074636326,0.316591587127549,0.013393296171372,0,0.013393296171372,0,0,0.0263582563899881,0.0263582563899881,0,0,0.013393296171372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,7,7,3,0,1,-1,-1,2,0,47.0588235294118,1.47058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5294117647059,2.94117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,7,7,3,0,1,-1,-1,47,0.340774928178808,31.6296412764728,3.43147953975164,15.2069659029857,4.94044037246548,1.26946675366615,1.20851582699382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00935460587157511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203007996181421,34.134860601622,2.89816317717888,2.85291461303829,0.371655754620115,0.139789921320226,0.0630546322155271,0.0310253246531706,1.17238120703021,0.00935460587157511,0,0.0280638176147253,0,0.00935460587157511,0.0187092117431502,0,0,0.0310253246531706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,7,3,0,1,-1,-1,107,0.115337567388071,4.90072572969561,25.91617228524,14.9996481640877,3.25730316880122,0.69361189926737,0.388902573596492,0.119488933642607,0.031577022002471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843987071343529,5.67365096546986,26.2368575956836,15.2058954157699,1.66063761969902,0.571207634113888,0.144584718407955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
