"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50"
1995,7,4,3,0,1,-1,-1,180,0.83457695892404,10.7572382370864,9.58903500795711,7.48321696624348,4.40150614240514,9.26885968683644,2.25474486034115,1.65582570437485,1.46363321424235,1.31665277760145,0.0774479246878934,0,0.366054873831351,1.48279665067574,0,0,2.65491972733354,0,0.040875444695119,0,0,0,0,0,0,0,0,0.143581070664784,0,0,0,0,0,0.196374899936069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97380032014661,12.4946706366115,3.83437303555514,2.56744491160386,8.21606994603705,4.26286895906379,4.06233467249102,2.27002751130393,0.196374899936069,1.57520292216487,0.235002961218705,0.154074096875742,0.0894900555056035,0,0.076000134266166,0,0,0.0685398089774524,0.0894900555056035,0,1.48279665067574,0.84339285529213,0.143581070664784,2.30858453928981,0,0,0,0,0,0,0,0.0685398089774524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,4,3,0,1,-1,-1,188,0,0.152835650433593,3.71808714129867,24.2781218372122,7.05616120250783,0.822094426618803,2.32775598321607,5.02437476579161,8.95015602141822,1.40583784624243,0.193062136594288,0.305362702845845,0.888123130972945,0.438029535437532,0.0664799762490814,0.188392932347051,0,0.292279797001997,0.188392932347051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611751180686608,3.13909632509839,17.1278218183243,8.3104453512105,0.489708762896744,2.58548752099745,3.8922178256449,2.22982670621282,2.47632291532922,1.12729578425558,0.433946902057479,0,0.235775537851286,0,0.0439393059737271,0,0.0431855184676892,0.28849489492208,0,0,0.669135631535997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,4,3,0,1,-1,-1,290,0,51.0997761814193,4.96116710069375,1.91278219639894,0.617890945394044,0.750702646414354,2.5422384408233,0.995762289607809,0.158255257137262,0.332998621496555,0.361118131161199,0.0560835861582884,0.189939691927568,0,0.0506177765846354,0,0.0210515147079404,0.134358562497274,0,0.122776244021222,0.0250053809558273,0.0629939634430074,0,0.0250053809558273,0,0,0,0,0,0,0,0,0,0,0,0,0.0425000216151689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36308629802766,26.0007754654658,3.1732392145396,0.638668944576171,0.0798274089275232,0.496714590955168,1.03187680101616,0.30144896093589,1.21152402562255,0.0899955515362097,0.682858220479601,0.305614349536833,0.294408942437994,0.268535577589686,0.0463658359766592,0.377798383811732,0,0.0206077156143269,0,0.0183765476857741,0,0,0.0506177765846354,0,0.0552233620039106,0,0,0,0,0,0,0.0294120932627719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,4,3,0,1,-1,-1,481,0.129648720485383,3.23985862281124,5.51648929775281,23.7697142318515,21.9012065027333,3.86749951949992,0.692859862771354,0.44725538633019,0.29478455412355,0.127195714749511,0.138619882715703,0,0,0.032210732741671,0.225697763551292,0,0.0146425531126104,0,0,0,0,0,0,0,0,0.0182973398636265,0,0,0,0.0511492090763028,0,0,0,0,0,0.00914866993181324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195465107793587,0.993707755632026,10.618601891766,10.2096972903925,12.5720427337036,3.34401398326589,0.527717606232779,0.0526549650555534,0,0.343125825038995,0.0716050023809547,0,0.112232888233232,0,0.249152347870767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967193506500049,0,0,0.136984687882339,0,0,0,0,0,0,0,0,0,0,0,0,0
