#year,month,fleet,sex,partition,age_error,age_low,age_high,input_n,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50
2016,7,4,0,2,1,-1,-1,286,24.27802208,3.724634681,17.19606656,35.17815596,5.754100943,2.16022149,1.516774768,0.878944541,1.448578752,2.391133325,0.230731877,2.934405847,0.739514249,0.01134122,0.010006959,0,0.066045928,0.087017905,0.074051495,0.231494312,0,0,0,0.010006959,0.445309663,0,0,0,0.188130824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445309663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,4,0,2,1,-1,-1,368,4.329006704,76.80764534,6.60358044,4.790428874,2.93455848,3.660135246,0.065650843,0.283293713,0.089837995,0.175727068,0.032084998,0.112544302,0.004936154,0.004936154,0.004936154,0.010859538,0.030604152,0,0.030604152,0,0,0,0,0,0,0,0,0,0.011846769,0,0,0,0,0,0,0,0,0,0,0.004936154,0,0,0,0,0,0,0,0,0,0,0.011846769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,4,0,2,1,-1,-1,217,0.315974149,2.77135261,71.79893887,6.903020451,1.958836146,7.194608746,4.86316856,0.411740747,0.421531885,0.343936464,2.35698936,0,0.167773885,0,0.146802149,0.154404403,0.014680215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010485868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165755497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,4,0,2,1,-1,-1,494,2.061788183,24.04452498,7.718430139,39.62814231,6.110559361,2.773641301,8.816044379,2.827079791,0.456411142,0.928296395,0.802877152,1.859010843,0.703453117,0.120788202,0.103661517,0.027042135,0.443491011,0,0.004507022,0,0.02614073,0,0.086534831,0,0,0,0,0,0.126760007,0.068506742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262308708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,4,0,2,1,-1,-1,567,4.653699364,40.65175604,11.54902761,13.75415102,3.54658177,8.384630356,4.314936431,3.146717297,1.488582673,1.164734606,3.234045315,0.922451231,1.14885517,0.639137326,0.354891893,0.110583813,0.016658943,0,0,0,0.087521428,0.007288288,0.277388761,0.018220719,0.01041184,0.07748144,0.152012859,0,0,0,0.043382665,0.022645751,0,0.133791512,0,0,0,0,0,0,0,0,0,0.07748144,0,0.004164736,0,0,0,0,0.006767696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,2,1,-1,-1,710,3.581782169,57.43527813,23.07260472,4.155785752,2.153137978,4.311331121,0.925537312,0.326640653,0.553332555,0.852114904,1.317817708,0.284149438,0.118369798,0.517410558,0.086777111,0.145365056,0.021548506,0,0.022829768,0,0,0,0,0,0,0,0.006522791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022829768,0,0,0,0,0,0,0.088834201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,4,0,2,1,-1,-1,826,5.73304482,33.74019001,43.83373073,9.167778306,0.875695114,0.395712841,2.868820608,0.357901128,0.506188028,0.225610125,0.842331258,0.320132139,0.401007079,0.499064762,0.131006813,0.015788089,0.015499283,0,0.002647393,0,0.011455992,0,0.00370635,0,0.052689138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,4,0,2,1,-1,-1,791,6.69278277,1.954677958,42.42971572,32.11396281,4.588571288,1.072729532,1.640847992,2.628572415,0.752701082,1.337277886,1.301453559,0.703608336,0.14721289,0.453943388,0.211324197,0.542144561,0.130558106,0.169311665,0.329311189,0,0.366808743,0,0.024268005,0.002539675,0.005643722,0,0,0.173826643,0,0,0,0,0,0,0,0,0,0,0,0,0.113102934,0,0,0,0,0,0,0,0,0,0.113102934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,5,0,2,1,-1,-1,97,0.073850618,0.585881571,14.40078028,4.848450788,6.867913511,12.82565669,16.41264807,10.03018424,3.726685022,2.544153798,3.862387334,3.205116832,1.646868787,0.812356801,0.24370704,0.509569266,0.73142004,0.785278241,0.08123568,1.351471743,1.01175347,0.103390866,0,0.164237446,0.413563462,0.273247287,0,0.73142004,0.088620742,0.347097906,0.413563462,0.609267601,0,0,0.066465556,0.118160989,0.416025149,0.236321978,0,0.664954483,0,0.221551855,0.088620742,0.110775927,0.900977543,0.418834422,1.469926222,0.841897048,1.681022897,0.620345193,2.442341362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,5,0,2,1,-1,-1,218,0,1.645259422,0.858778523,18.37153127,4.215172071,9.16571114,8.776289922,17.19815999,8.077979605,4.183735585,1.682385229,1.58941028,0.699039855,0.395682937,0.624299745,0.197492542,0.319758734,0.513203726,0.580334974,0.700505348,0.087929542,1.150204405,0.973577927,5.752643708,0.079136587,0.95591973,0.997930511,2.039476867,0.096722496,0.076205603,0.944756578,0.136779287,0,1.431578938,0.128963328,0.140687267,0.530508234,0.225685823,0.093791511,1.0932573,0,0.199306961,0.140198769,0.216892869,0.184652037,0.04982674,0.020516893,0.102584465,0.423527292,0.624299745,1.307707682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,5,0,2,1,-1,-1,258,0.010182515,0.202801766,3.781901595,1.501752038,4.019447283,1.587936732,7.184529733,10.31868914,16.62026684,9.176415641,5.715367832,2.901252815,3.09439875,2.448570113,0.698313178,0.612862036,2.163424097,2.023303837,3.21353628,2.059054035,1.315057607,0.781448643,0.6833704,1.252619087,0.951208175,1.185742674,0.977486054,1.308850742,0.104371903,1.15364412,0.50632676,0.020365031,0.057022087,0.543480143,0.814071773,0.312654204,0.193319059,1.173013926,0.800212906,0.260799677,0.087569633,1.050572637,1.01276232,0.620087519,0.396303502,0.333858852,0.668733537,0.530509056,0.218924435,0,1.351607279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,5,0,2,1,-1,-1,111,0,38.33882392,3.910381675,2.550291772,0.255303697,2.70402303,0.417270559,6.680904279,5.755771527,12.74505339,12.12280782,0.797938437,0.230596888,0.197654475,0.109808042,0.417270559,1.771569742,0,0.054904021,1.464107225,0.406289755,0.109808042,0,0.505116992,0,0,0,0,0,0,0,0.362366538,0.109808042,0.197654475,0.054904021,0,0,0.153731259,0,3.469934122,0,0,0,0.600283962,1.595876875,0.054904021,0.141835387,0,0.395308951,0,1.317696502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,5,0,2,1,-1,-1,573,0.220683347,1.030491022,66.17877423,5.502984615,0.849603526,0.556703689,1.592513066,2.209708151,1.280086975,3.272489368,3.681667937,3.565525998,0.978165988,0.802006816,0.195006719,0.386436019,0.352318806,0.360580718,0.035972533,0.03063838,0.578422823,0.514673751,0.028230821,0.258835862,0.350571162,0.14748841,0.209249227,0.438269615,0.353528097,0.035101979,0.256440216,0.601616289,0.32041441,0.041177487,0.071201191,0.141465016,0.121255728,0,0.193425112,0.123271169,0.020209288,0.07719948,0.192796608,0.331336867,0.189791901,0.075178552,0.005658601,0.038867085,0.057379869,0.162766214,0.981819263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,5,0,2,1,-1,-1,439,0,3.806512205,6.470321634,57.40144023,6.84228225,1.68593141,1.095955315,1.904629477,3.06213884,2.459130524,1.455016754,2.242095847,1.518474732,1.958660338,0.770586948,0.75306506,0.125062662,0.226949377,0.787316981,0.620503209,0.154360559,0.033670717,0.249250761,0.355012851,0.092766635,0.131621893,0.04722646,0.145614918,0.084395433,0,0.399238499,0.071276972,0.13794864,0.013118461,0.052911126,0.013993025,0,0,0.206834403,0.217329172,0.078273484,0,0.138181123,0.09882574,0.009620205,0.212956352,0.277236811,0,0.058158511,0.10101215,1.433091307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,5,0,2,1,-1,-1,538,0.034046267,1.178076191,23.33020354,10.00548489,32.04112086,9.042387711,3.654375401,1.679572296,1.842414261,0.591707982,1.560359119,2.519006278,2.615471605,1.632945003,0.778014714,2.137533842,0.440687344,0.108520599,0,0,0.321834849,0.151316741,0.278343981,0.270058351,0.200242488,0.556494647,0,0.027215997,0.357996536,0.002495675,0.205171597,0.258442321,0.009247134,0.11874161,0.083224208,0,0,0,0,0,0,0.090101611,0,0,0,0.235608367,0.018389187,0,0.28346074,0.225076597,1.114609463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,5,0,2,1,-1,-1,216,0.042810885,0.040242232,6.463991913,27.24545088,17.22345159,19.88165786,4.686476115,2.800264318,0.309269493,0.412631917,1.69658388,2.723205312,3.448823773,2.748287568,4.005041928,0.684796217,0.317005671,0.375448775,1.007987297,0.064994707,0.714519207,0.126720219,0.15203452,0.118158042,0.138707266,0.102990757,0,0,0.171881131,0,0.079628245,0,0,0.165250015,0.091615293,0.242222784,0.105178109,0.012843265,0,0,0.012843265,0,0,0.024830313,0,0.216767694,0,0,0,0,1.345387538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,5,0,2,1,-1,-1,173,0.013997701,6.922401434,3.141945463,8.182351344,17.5903988,12.37737723,18.09882509,11.39410585,3.597409114,1.437456201,0.972301835,1.077822964,1.036547692,0.684810595,1.441763186,0.705268773,1.709872994,2.570193222,0.758029337,1.177960362,0,0,0.352096013,0,0.441465949,0.072141997,0,0.530835885,0.333791328,0,0,0.005383731,0,0,0,0.244421391,0.013997701,0.770950292,0,0,0,0,0,0,0,0,0,0,0,0,2.344076516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,5,0,2,1,-1,-1,498,0.168602292,1.258757262,28.66952153,9.725865398,8.322382194,12.48784067,6.914015835,7.57693749,3.713958803,1.556944129,0.722509478,0.304008785,0.888799874,1.204904124,0.213911271,2.135616788,0.656756326,0.642596553,1.291175731,0.264780895,0.842113729,0.358561317,0.488175512,0.019006864,0.248230425,0.248633896,0.48825357,0.256244262,0.46199565,0.494958095,0.46994013,0.094202194,0.214873121,0.215581234,0.407135173,0.497143645,0.203278892,0.025545802,0.995937699,0.00747682,0,0.482589267,0.019813573,0.169863178,0.061666454,0,0.010841389,0.051590058,0,0.016199777,3.430262846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
