"year","seas","Sex","GP","bseas","Fleet","a0","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30"
1890,1,1,1,1,1,617,1785,1946,2048,1499,1269,1058,835,643,437,397,321,309,244,220,197,186,159,158,136,118,137,100,117,88,68,84,77,88,64,1027
1890,1,2,1,1,1,784,1690,1977,1754,1407,1116,979,770,631,538,447,398,343,267,230,220,202,168,170,149,134,146,136,123,110,111,88,122,102,98,1740
1997,1,1,1,1,1,17,105,187,142,138,78,54,45,34,31,32,28,21,18,17,23,27,11,18,20,11,11,13,11,8,12,8,3,11,6,110
1997,1,2,1,1,1,20,109,152,126,96,62,48,34,29,30,14,22,24,17,20,12,12,13,17,14,13,10,13,12,11,7,14,10,7,19,143
1998,1,1,1,1,1,0,4,16,98,38,8,13,18,18,5,3,2,5,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,2,1,1,1,0,8,19,85,37,7,4,11,9,4,2,4,0,3,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
1999,1,1,1,1,1,9,0,19,5,29,16,13,8,13,14,12,6,7,5,5,9,3,2,4,7,2,6,5,4,4,3,7,2,3,2,38
1999,1,2,1,1,1,11,2,8,9,28,15,11,7,6,5,5,11,4,4,4,5,3,5,6,3,6,1,4,7,1,2,6,4,3,2,42
2000,1,1,1,1,1,20,36,118,36,30,65,39,17,25,28,20,32,26,17,26,19,16,14,16,16,13,17,13,11,16,5,11,9,9,5,135
2000,1,2,1,1,1,23,39,99,32,27,56,34,18,20,17,21,21,25,15,22,15,15,16,10,13,12,11,9,6,13,9,7,13,13,14,154
2001,1,1,1,1,1,7,64,116,45,21,21,54,26,13,7,17,7,11,5,2,5,6,12,4,6,5,3,5,5,2,1,2,3,2,4,32
2001,1,2,1,1,1,6,40,92,21,9,9,25,17,11,8,11,10,7,8,9,8,3,2,2,3,4,6,6,3,4,4,2,1,5,1,45
2003,1,1,1,1,1,17,73,57,207,137,31,17,14,20,9,8,5,6,11,2,0,6,4,1,4,3,3,1,1,2,3,2,0,2,1,24
2003,1,2,1,1,1,28,69,49,159,149,28,28,11,11,13,3,4,6,6,8,3,4,2,6,2,3,10,4,3,2,6,3,4,4,6,58
2004,1,1,1,1,1,63,37,67,107,179,90,39,11,10,9,7,1,1,7,6,1,6,3,5,2,4,2,2,3,2,4,1,2,2,1,19
2004,1,2,1,1,1,63,40,94,97,178,71,19,9,9,15,4,3,2,5,7,3,2,5,5,4,4,7,4,1,6,5,1,3,4,6,46
2005,1,1,1,1,1,1,118,41,103,97,130,52,29,6,4,10,5,11,7,8,12,4,8,6,6,7,8,4,4,3,1,1,5,5,3,32
2005,1,2,1,1,1,3,105,41,104,132,130,57,23,12,12,21,12,12,8,8,10,8,6,13,8,7,2,9,8,14,7,5,4,5,3,51
