"year","month","fleet","sex","partition","input_n","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74","u76","u78","u80","u82","u84","u86","u88","u90","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74","u76","u78","u80","u82","u84","u86","u88","u90"
1998,7,6,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0.250184748918488,0.739341371271202,2.24572918897927,4.24175677183548,9.03131721197091,12.740478549787,13.8867477197413,14.2674955752695,12.1143650216873,7.64278259372967,7.47958533947537,6.38715587921698,3.42532952743168,0.912554471362161,3.23477863813436,0.275180386124299,0.34295638875123,0.782260616313756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,6,0,0,22,0,0,0,0,0,2.7206350447757,0,0,0,0,0,3.35641216752787,12.0806917658547,0,4.7707837137224,15.3780471071173,14.9415353381497,5.96596035866959,16.5833218896336,9.65142842908133,0,0,0,4.85039472848927,4.85039472848927,0,4.85039472848927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,6,0,0,323,0,0,0,0,0,0,0.0156424209559321,0.0132657337190814,0.248083872627453,0.538414803036576,1.38819190838071,0.995902233345996,0.537157186245595,0.233113383057084,0.0508066662497772,0.333003729468905,24.0280032512923,27.1661823961707,10.6782742264045,16.2709921535044,8.5024318236222,1.14649941569605,0.802634860046594,0.520431525388791,5.84142713057338,0.238993695088482,0.185290601529154,0.0516947451149067,0.0866476626061053,0.0861081171980446,0,0.0408064586773811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
