"year","month","fleet","sex","partition","input_n","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74","u76","u78","u80","u82","u84","u86","u88","u90"
1998,7,6,0,0,599,0,0,0,0.262196380388482,0.571080720721819,0.93641564424458,1.30121927869784,0.767595183745807,0.177520505604347,0.140063879834564,0.233439799724273,0.233439799724273,0.674004040376121,1.92387578574074,3.33218954023764,6.98228341433478,10.3220556398413,15.0449206178947,13.2090201795301,11.8683038287493,9.42924471173942,5.98824915211696,5.19673996270366,4.12229127600709,1.97097368860015,1.39845008057425,1.38812096430218,0.89190066097827,0.438411595138684,0.82230236647541,0.0527218952528149,0.0569754021460738,0.213004743482109,0.0509892610922488,0,0,0
1999,7,6,0,0,702,0,0,0,0,0.0464810523498444,0.198203871739211,0.239423089734638,0.163673173303404,0.303745360988521,0.579368564964202,0.387377600169946,0.309680516587467,0.375339523142453,0.754495289367683,2.39086954921673,5.46757880815621,10.288216150665,15.2287510942778,14.7480247040564,12.9226931069249,10.4550164645549,8.58543715031892,5.18825819914809,4.01941088771518,2.75523105043745,1.8047841879609,0.928600638124134,0.604781543606243,0.551671756668767,0.21638589514762,0.104342094208214,0.202135365360501,0.155503509845321,0,0,0.0245198012591966,0
2000,7,6,0,0,711,0,0.00505257106020972,0,0,0,0.00505257106020972,0.0345923014635418,0.206257500509314,0.362268454722312,0.545195444582109,0.893923858047844,0.680389845503553,0.374592574426843,0.186468332898192,5.76874648406394,11.1685616373354,14.3845887489082,23.7948566873113,9.0452109084173,9.98451664684877,14.613311532091,1.78406959281891,1.46794904134125,0.829941415521403,2.38253080125155,0.453802672448713,0.347831483402875,0.222074837661147,0.206219034779432,0.0656715293996497,0.0848649775734956,0.0621561487411404,0.0261488631664104,0.00579729883853931,0.00735620380543565,0,0
2001,7,6,0,0,718,0.0484226448108453,0.0642622157734808,0.251263395710067,0.58642926057671,0.195990418287902,0,0,0.164078718465573,0.200437619347746,0.904398495439178,2.44387385392955,4.01472083779855,5.41677393140045,7.19856990485833,7.47135904297489,5.21552445768965,6.13816207436204,8.56742505415847,11.7205168444525,11.4438046512476,7.98688118566213,6.46794499798583,4.81013658989282,2.6974702949988,2.58217140699605,1.21504372201574,0.511493086178562,0.825917829298654,0.338589887877289,0.245575490026092,0.149494506332148,0.12326758145235,0,0,0,0,0
2002,7,6,0,0,816,0.315763462858148,0,0.0687075664829027,0.0197273181824695,0,0,0,0.100918175928876,0.121998040810441,0.688843966215468,2.07548235598718,2.9609990030155,2.79620507887153,4.93212426925416,8.3757006024896,8.7694896145453,9.89799420608118,10.6750097208659,10.8236559217923,10.9597916754652,8.02833938757076,5.41350098741471,4.0566658762349,2.44522869283337,1.87079250416808,1.37012653916388,1.2993736296317,0.791006473525386,0.376410702368658,0.323543107529902,0.258120822619362,0.0495072338463517,0.10475478803119,0.0302182762155649,0,0,0
