"year","month","fleet","sex","partition","input_n","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74","u76","u78","u80","u82","u84","u86","u88","u90"
1995,7,7,0,0,794,2.18991870711521,0.882229474718616,0.704003615899386,0.626758784164174,0.199618200838925,0.172836782875243,0.663742100220973,2.07909208038542,6.31810192721955,12.0479761892892,13.7912634238592,5.81578093266175,1.53830294141878,1.67423871123419,3.10324835415571,4.83702613230349,8.10908316793853,8.81180176260202,7.94161063514882,6.09272240783047,4.45540656861514,2.84801163049465,1.77818462993022,1.16868768747917,0.805493612242823,0.569057018616866,0.270073288135313,0.154566650845755,0.149293452746887,0.0714191827099033,0.083344750012424,0.0111941162797265,0.025411293362145,0,0.0104997866493617,0,0
1998,7,7,0,0,635,0.0345358524789314,0,0,0,0,0.0223865095323977,0.0903680069917226,0.209027822998536,0.162017134398952,0.341310163213791,0.277502538607251,0.735193531319474,2.5421994311417,8.01245637680605,14.7503955248316,17.394616090967,15.3784313345541,11.7730472869107,8.50496947235478,5.63893236521887,3.52598299546025,2.70614927888096,2.07527525404527,1.58131018796876,1.4363745050875,0.854955655267217,0.668233673489596,0.500964685802795,0.375676264845044,0.200976298399251,0.122979070231904,0.0287319135714112,0.0267184270720863,0.00795137355979944,0.00795137355979944,0.0123796004324527,0
2001,7,7,0,0,878,0.00164134906108512,0,0,0.00385929955797547,0.0597994894672239,0.0910408790133176,0.964871458662012,6.8164470315029,19.5297367635347,21.6475389196433,13.1654525402404,9.75920890749741,10.0157615935362,6.51750720252869,3.4740528137161,1.75685924361999,1.27360438793197,0.799207416570793,0.798075004731015,0.801246861326487,0.513915394481272,0.591109458819387,0.361629759773241,0.311012959111225,0.187353036112639,0.15291707485079,0.141748386933211,0.0847404247511052,0.06718672317187,0.0479151744647097,0.0231557064634193,0.0177115723869156,0.012027996044513,0.00495917286247206,0,0.00350941172100043,0.00319658591067831
2004,7,7,0,0,704,0.118771104336585,0.136875453352393,0.289208898262804,0.118941907878332,0.216276110664916,0.13772507669664,0.194788050654568,0.142364250601862,0.516138333466269,0.963189426589403,1.84726291103269,2.29484424162679,6.28218767699163,9.45681880341781,10.264468414784,9.23087649857935,10.4128133235591,7.15417717848066,7.10035032790527,5.43095396417423,5.67382258006279,4.57059921880794,3.54959152205289,2.75423664374193,2.42280256813196,0.968351564149124,0.698161981416946,1.0909664620654,1.15573942965304,1.17258280764653,0.629236681179987,0.957348749583977,1.14746712502912,0.309701215018086,0.350750752295102,0.228420124885895,0.0111886212240738
