"Year","Quantity","Assessment_Year","Value"
1967,"SSB (MT)","2023",101648
1968,"SSB (MT)","2023",105031
1969,"SSB (MT)","2023",115199
1970,"SSB (MT)","2023",136276
1971,"SSB (MT)","2023",158257
1972,"SSB (MT)","2023",173034
1973,"SSB (MT)","2023",179363
1974,"SSB (MT)","2023",181565
1975,"SSB (MT)","2023",178922
1976,"SSB (MT)","2023",171681
1977,"SSB (MT)","2023",158590
1978,"SSB (MT)","2023",154973
1979,"SSB (MT)","2023",150630
1980,"SSB (MT)","2023",141039
1981,"SSB (MT)","2023",138606
1982,"SSB (MT)","2023",135938
1983,"SSB (MT)","2023",132643
1984,"SSB (MT)","2023",130340
1985,"SSB (MT)","2023",127173
1986,"SSB (MT)","2023",121887
1987,"SSB (MT)","2023",115865
1988,"SSB (MT)","2023",111116
1989,"SSB (MT)","2023",108383
1990,"SSB (MT)","2023",105701
1991,"SSB (MT)","2023",102480
1992,"SSB (MT)","2023",98898.6
1993,"SSB (MT)","2023",96535.3
1994,"SSB (MT)","2023",96049.3
1995,"SSB (MT)","2023",94623.3
1996,"SSB (MT)","2023",91296
1997,"SSB (MT)","2023",86721.7
1998,"SSB (MT)","2023",82963.5
1999,"SSB (MT)","2023",82063.8
2000,"SSB (MT)","2023",79308.5
2001,"SSB (MT)","2023",75123.9
2002,"SSB (MT)","2023",71472.4
2003,"SSB (MT)","2023",73061.4
2004,"SSB (MT)","2023",81158.7
2005,"SSB (MT)","2023",90611.7
2006,"SSB (MT)","2023",96357.4
2007,"SSB (MT)","2023",97831.4
2008,"SSB (MT)","2023",96692
2009,"SSB (MT)","2023",92969.8
2010,"SSB (MT)","2023",86994.8
2011,"SSB (MT)","2023",82231.2
2012,"SSB (MT)","2023",81263.9
2013,"SSB (MT)","2023",81988.9
2014,"SSB (MT)","2023",82768.8
2015,"SSB (MT)","2023",82489.8
2016,"SSB (MT)","2023",81830.7
2017,"SSB (MT)","2023",82908.1
2018,"SSB (MT)","2023",84803.5
2019,"SSB (MT)","2023",89431.6
2020,"SSB (MT)","2023",98233
2021,"SSB (MT)","2023",106760
2022,"SSB (MT)","2023",110930
2023,"SSB (MT)","2023",117519
