"Year","Quantity","Assessment_Year","Value"
1940,"SSB","2011",139264
1940,"SSB","2015",107866
1941,"SSB","2005",NA
1941,"SSB","2007",226640
1941,"SSB","2011",137927
1941,"SSB","2015",106671
1942,"SSB","2005",NA
1942,"SSB","2007",226322
1942,"SSB","2011",136535
1942,"SSB","2015",105430
1943,"SSB","2005",NA
1943,"SSB","2007",225654
1943,"SSB","2011",134697
1943,"SSB","2015",103738
1944,"SSB","2005",NA
1944,"SSB","2007",224657
1944,"SSB","2011",132653
1944,"SSB","2015",101842
1945,"SSB","2005",NA
1945,"SSB","2007",223379
1945,"SSB","2011",130507
1945,"SSB","2015",99859.2
1946,"SSB","2005",NA
1946,"SSB","2007",221953
1946,"SSB","2011",128162
1946,"SSB","2015",97695
1947,"SSB","2005",NA
1947,"SSB","2007",220748
1947,"SSB","2011",125753
1947,"SSB","2015",95489.4
1948,"SSB","2005",NA
1948,"SSB","2007",220382
1948,"SSB","2011",124062
1948,"SSB","2015",94018.3
1949,"SSB","2005",NA
1949,"SSB","2007",219837
1949,"SSB","2011",122236
1949,"SSB","2015",92398.6
1950,"SSB","2005",249836
1950,"SSB","2007",219302
1950,"SSB","2011",120608
1950,"SSB","2015",90962.2
1951,"SSB","2005",246974
1951,"SSB","2007",218963
1951,"SSB","2011",119162
1951,"SSB","2015",89692.4
1952,"SSB","2005",242061
1952,"SSB","2007",218178
1952,"SSB","2011",117320
1952,"SSB","2015",88008
1953,"SSB","2005",237464
1953,"SSB","2007",217941
1953,"SSB","2011",116085
1953,"SSB","2015",86917.9
1954,"SSB","2005",233707
1954,"SSB","2007",218034
1954,"SSB","2011",115129
1954,"SSB","2015",86084.4
1955,"SSB","2005",230038
1955,"SSB","2007",217823
1955,"SSB","2011",114095
1955,"SSB","2015",85136.5
1956,"SSB","2005",226691
1956,"SSB","2007",217625
1956,"SSB","2011",113324
1956,"SSB","2015",84409.1
1957,"SSB","2005",222810
1957,"SSB","2007",216626
1957,"SSB","2011",112465
1957,"SSB","2015",83541.4
1958,"SSB","2005",219192
1958,"SSB","2007",215788
1958,"SSB","2011",112142
1958,"SSB","2015",83156.6
1959,"SSB","2005",216386
1959,"SSB","2007",215484
1959,"SSB","2011",112702
1959,"SSB","2015",83581.4
1960,"SSB","2005",212977
1960,"SSB","2007",214826
1960,"SSB","2011",113564
1960,"SSB","2015",84213.6
1961,"SSB","2005",208797
1961,"SSB","2007",213786
1961,"SSB","2011",114826
1961,"SSB","2015",85139.5
1962,"SSB","2005",204942
1962,"SSB","2007",213160
1962,"SSB","2011",117268
1962,"SSB","2015",87132.3
1963,"SSB","2005",201129
1963,"SSB","2007",212325
1963,"SSB","2011",120342
1963,"SSB","2015",89645.9
1964,"SSB","2005",198312
1964,"SSB","2007",211899
1964,"SSB","2011",124625
1964,"SSB","2015",93262.3
1965,"SSB","2005",196257
1965,"SSB","2007",211327
1965,"SSB","2011",129830
1965,"SSB","2015",97759.2
1966,"SSB","2005",195160
1966,"SSB","2007",210803
1966,"SSB","2011",136099
1966,"SSB","2015",103410
1967,"SSB","2005",195489
1967,"SSB","2007",210687
1967,"SSB","2011",143409
1967,"SSB","2015",110708
1968,"SSB","2005",195499
1968,"SSB","2007",209315
1968,"SSB","2011",149289
1968,"SSB","2015",116623
1969,"SSB","2005",197178
1969,"SSB","2007",208608
1969,"SSB","2011",155109
1969,"SSB","2015",122407
1970,"SSB","2005",197777
1970,"SSB","2007",206644
1970,"SSB","2011",159117
1970,"SSB","2015",126085
1971,"SSB","2005",199636
1971,"SSB","2007",205435
1971,"SSB","2011",163461
1971,"SSB","2015",129356
1972,"SSB","2005",201228
1972,"SSB","2007",204089
1972,"SSB","2011",168902
1972,"SSB","2015",132432
1973,"SSB","2005",201329
1973,"SSB","2007",201302
1973,"SSB","2011",173542
1973,"SSB","2015",134230
1974,"SSB","2005",202539
1974,"SSB","2007",199088
1974,"SSB","2011",178043
1974,"SSB","2015",139454
1975,"SSB","2005",201375
1975,"SSB","2007",194958
1975,"SSB","2011",179436
1975,"SSB","2015",142418
1976,"SSB","2005",198855
1976,"SSB","2007",191487
1976,"SSB","2011",176479
1976,"SSB","2015",141276
1977,"SSB","2005",189010
1977,"SSB","2007",182509
1977,"SSB","2011",166863
1977,"SSB","2015",132894
1978,"SSB","2005",186202
1978,"SSB","2007",181322
1978,"SSB","2011",165216
1978,"SSB","2015",130855
1979,"SSB","2005",181346
1979,"SSB","2007",178571
1979,"SSB","2011",164610
1979,"SSB","2015",129830
1980,"SSB","2005",171261
1980,"SSB","2007",170687
1980,"SSB","2011",157523
1980,"SSB","2015",122346
1981,"SSB","2005",168571
1981,"SSB","2007",168855
1981,"SSB","2011",155108
1981,"SSB","2015",120419
1982,"SSB","2005",165600
1982,"SSB","2007",166347
1982,"SSB","2011",153177
1982,"SSB","2015",118835
1983,"SSB","2005",160090
1983,"SSB","2007",160174
1983,"SSB","2011",147775
1983,"SSB","2015",114082
1984,"SSB","2005",155928
1984,"SSB","2007",155054
1984,"SSB","2011",144216
1984,"SSB","2015",111180
1985,"SSB","2005",151928
1985,"SSB","2007",149662
1985,"SSB","2011",140349
1985,"SSB","2015",107978
1986,"SSB","2005",145757
1986,"SSB","2007",142833
1986,"SSB","2011",134469
