"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","u0","u1","u2","u3","u4","u5","u6","u7","u8","u9","u10","u11","u12","u13","u14","u15","u16","u17","u18","u19","u20","u21","u22","u23","u24","u25","u26","u27","u28","u29","u30","u31","u32","u33","u34","u35","u36","u37","u38","u39","u40","u41","u42","u43","u44","u45","u46","u47","u48","u49","u50","u0.1","u1.1","u2.1","u3.1","u4.1","u5.1","u6.1","u7.1","u8.1","u9.1","u10.1","u11.1","u12.1","u13.1","u14.1","u15.1","u16.1","u17.1","u18.1","u19.1","u20.1","u21.1","u22.1","u23.1","u24.1","u25.1","u26.1","u27.1","u28.1","u29.1","u30.1","u31.1","u32.1","u33.1","u34.1","u35.1","u36.1","u37.1","u38.1","u39.1","u40.1","u41.1","u42.1","u43.1","u44.1","u45.1","u46.1","u47.1","u48.1","u49.1","u50.1"
1989,7,4,0,0,1,-1,-1,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,4,0,0,1,-1,-1,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
