year,sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2015,M,12,45,171,36,24,54,33,38,21,12,5,4,6,8,2,5,10,9,9,3,4,2,5,2,1,2,3,2,3,3,70
2016,F,20,14,52,160,48,41,41,37,23,18,5,4,9,2,10,10,11,10,7,5,0,2,4,1,3,1,1,1,4,3,35
2016,M,41,24,55,141,40,25,35,23,33,18,3,6,6,8,12,13,10,8,11,9,4,4,3,2,4,3,2,1,3,2,51
2016,U,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,F,7,124,33,61,101,39,27,27,24,8,12,5,5,6,3,5,9,9,10,5,0,8,2,5,1,2,5,1,1,2,36
2017,M,4,113,24,66,104,34,28,25,26,29,17,9,10,6,5,13,8,5,6,4,7,2,5,3,4,2,1,3,2,1,56
2017,U,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2018,F,11,26,168,46,67,99,49,50,38,22,26,6,8,3,4,4,8,9,7,7,9,9,3,1,2,1,1,0,3,3,39
2018,M,10,26,175,34,55,92,48,42,27,30,26,12,9,7,10,10,7,7,6,7,7,7,5,5,0,4,1,5,4,5,61
2018,U,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,F,15,45,7,103,26,18,73,18,20,13,10,11,3,3,4,1,2,2,3,4,6,4,2,2,0,0,1,1,2,1,15
2019,M,26,36,11,101,27,32,56,22,14,15,10,12,4,4,7,4,7,2,7,9,6,2,1,2,1,3,1,1,3,1,29
2019,U,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,F,61,241,72,34,22,169,57,47,41,34,29,32,24,17,20,11,13,5,6,2,7,6,8,11,5,5,5,5,5,1,50
2021,M,90,226,66,32,42,139,40,32,43,31,42,32,37,26,10,11,10,6,6,4,3,11,11,8,3,7,7,5,5,2,48
2021,U,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,F,4,165,197,64,18,14,100,22,19,18,16,14,23,19,14,13,6,3,6,3,4,3,3,4,4,1,5,1,5,0,30
2022,M,13,188,191,56,25,19,83,24,20,27,22,21,17,14,9,6,9,5,7,7,7,7,3,4,6,4,1,2,3,0,47
2022,U,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,F,55,19,183,192,42,29,34,89,19,17,20,15,23,23,15,15,9,8,6,2,5,8,5,7,4,5,4,2,3,2,18
2023,M,75,17,173,146,40,14,37,69,24,23,15,23,16,16,15,14,9,8,9,7,5,3,5,4,5,0,2,3,1,2,37
2023,U,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,F,2,95,11,127,108,33,23,21,48,12,15,10,12,8,11,9,6,5,3,5,1,1,0,3,3,1,2,3,0,0,9
2024,M,18,91,18,93,99,19,17,20,52,13,7,13,19,10,9,10,11,5,6,2,2,4,4,5,4,3,2,3,2,2,30
2024,U,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,F,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,M,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M,0,1,6,6,1,1,0,0,2,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,F,0,2,45,68,86,49,34,34,30,27,30,28,18,17,17,23,25,11,17,20,11,10,13,11,8,12,8,2,11,6,109
1997,M,0,1,34,55,54,43,34,26,26,23,13,18,23,16,17,12,12,12,16,14,12,9,12,10,11,7,14,10,7,19,142
1998,F,0,4,16,98,38,8,13,18,18,5,3,2,5,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,M,0,8,19,85,37,7,4,11,9,4,2,4,0,3,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
2007,M,0,14,5,64,23,57,67,106,51,33,13,11,11,7,4,4,8,6,4,5,3,12,7,8,2,8,6,9,6,3,111
1989,F,0,0,13,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,U,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,U,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,U,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,U,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
